지점,평가그룹,영업팀,채널,유통,순위,Gross 실판 전년마감,Gross 실판 전년동기,Gross 실판 목표,Gross 실판,Gross 실판 전년마감比,Gross 실판 전년동기比,Gross 실판 목표比,Gross 실판점수,Gross 실판 평점,Gross 총판 전년마감,Gross 총판 전년동기,Gross 총판 목표,Gross 총판,Gross 총판 전년마감比,Gross 총판 전년동기比,Gross 총판 목표比
전자랜드 봉담하나로점,,혼매경기팀,전자랜드,양판,,0,0,0,0,#DIV/0!,,,0,0,0,0,0,0,,,
전자랜드 서수원점,,혼매경기팀,전자랜드,양판,,0,0,0,0,#DIV/0!,,,0,0,0,0,0,0,,,
전자랜드 수원정자점,,혼매경기팀,전자랜드,양판,,0,0,0,0,#DIV/0!,,,0,0,0,0,0,0,,,
전자랜드 G7스퀘어점,,혼매경북팀,전자랜드,양판,,0,0,0,0,#DIV/0!,,,0,0,0,0,0,0,,,
전자랜드 경주점,,혼매경북팀,전자랜드,양판,,0,0,0,0,#DIV/0!,,,0,0,0,0,0,0,,,
전자랜드 달성하나로마트점,,혼매경북팀,전자랜드,양판,,0,0,0,0,#DIV/0!,,,0,0,0,0,0,0,,,
전자랜드 송현점,,혼매경북팀,전자랜드,양판,,0,0,0,0,#DIV/0!,,,0,0,0,0,0,0,,,
전자랜드 수성점_가전,,혼매경북팀,전자랜드,양판,,0,0,0,0,#DIV/0!,,,0,0,0,0,0,0,,,
전자랜드 영일대점,,혼매경북팀,전자랜드,양판,,0,0,0,0,#DIV/0!,,,0,0,0,0,0,0,,,
전자랜드 영주점,,혼매경북팀,전자랜드,양판,,0,0,0,0,#DIV/0!,,,0,0,0,0,0,0,,,
전자랜드 칠곡점_가전,,혼매경북팀,전자랜드,양판,,0,0,0,0,#DIV/0!,,,0,0,0,0,0,0,,,
전자랜드 형곡우리마트점,,혼매경북팀,전자랜드,양판,,0,0,0,0,#DIV/0!,,,0,0,0,0,0,0,,,
전자랜드 동아쇼핑점,,혼매경북팀,전자랜드,양판,,0,0,0,0,#DIV/0!,,,0,0,0,0,0,0,,,
전자랜드대구탑마트점  무인,,혼매경북팀,전자랜드,양판,,0,0,0,0,#DIV/0!,,,0,0,0,0,0,0,,,
(신)이마트 펜타포트점,,혼매충청팀(A),이마트,대형마트,,0,0,0,0,#DIV/0!,,,0,0,0,0,0,0,,,
신 홈플러스 천안신방점,,혼매충청팀(A),홈플러스,대형마트,,77.09017626,77.09017626,0,4.365455,-0.943372097,-0.943372097,,0,0,72.84154841,72.84154841,0,4.365455,-0.940069163,-0.940069163,
전자랜드 공주점,,혼매충청팀(A),전자랜드,양판,,0,0,0,0,#DIV/0!,,,0,0,0,0,0,0,,,
전자랜드 내포하나로마트점,,혼매충청팀(A),전자랜드,양판,,0,0,0,0,#DIV/0!,,,0,0,0,0,0,0,,,
전자랜드 논산점,,혼매충청팀(A),전자랜드,양판,,0,0,0,0,#DIV/0!,,,0,0,0,0,0,0,,,
전자랜드 보령점,,혼매충청팀(A),전자랜드,양판,,25.76623586,25.76623586,0,0,-1,-1,,0,0,26.96739275,26.96739275,0,-2.517273,-1.093345064,-1.093345064,
전자랜드 율량점,,혼매충청팀(A),전자랜드,양판,,0,0,0,0,#DIV/0!,,,0,0,0,0,0,0,,,
전자랜드 청주하나로점,,혼매충청팀(A),전자랜드,양판,,0,0,0,0,#DIV/0!,,,0,0,0,0,0,0,,,
