지점,평가그룹,영업팀,채널,유통,채널 M&B Gross 총판 신장율,목표,Gross총판,달성율,지급율,상위구간달성목표,구독총판,구독총판 모수,구독총판 비중,구독비중 추가지급 결과,지점MB전년마감Gross 총판,지점MB전년동기Gross 총판,지점MB당월Gross 총판,지점MB전년동기比Gross 총판신장율,지점전년마감Gross 총판,지점전년동기Gross 총판,지점당월Gross 총판,지점전년동기比Gross 총판신장율,조건1,조건2,신규점_MB비중,신규점_MB비중 채널比,수당 100% 지급조건 결과,최종 지급율,Gross실판 가전,Gross실판 IT,Gross실판 가전+IT,가전비중,IT비중,가전수당,IT수당,계
전자랜드 안동점_가전,경북양판담당 전자랜드,혼매경북팀,전자랜드,양판,32.6%,95.97,100.82,105.1%,0.2%,4.75,4,62,6.5%,X,8.38,8.32,8.12,-2.5%,84.83,59.60,100.82,69.2%,-71.6%,-35.0%,,,50.0%,0.1%,55.89,0.16,56.06,99.7%,0.3%,"55,894 ",161 ,"56,055 "
전자랜드 우현점_가전,경북양판담당 전자랜드,혼매경북팀,전자랜드,양판,32.6%,114.23,60.38,52.9%,0.0%,53.85,5,45,11.1%,X,3.16,5.23,9.22,76.4%,68.17,50.10,60.38,20.5%,55.8%,43.8%,,,100.0%,0.0%,60.91,0.00,60.91,100.0%,0.0%,,,
전자랜드 현대시티아울렛 대구점,경북양판담당 전자랜드,혼매경북팀,전자랜드,양판,32.6%,70.55,109.38,155.0%,1.2%,최대지급율,12,73,16.4%,X,4.39,4.39,13.90,216.4%,65.79,57.17,109.38,91.3%,125.1%,183.9%,,,100.0%,1.2%,44.84,0.00,44.84,100.0%,0.0%,"538,059 ",0 ,"538,059 "
전자랜드 광평점_가전,경북양판담당 전자랜드,혼매경북팀,전자랜드,양판,32.6%,139.86,116.63,83.4%,0.0%,23.23,11,78,14.1%,X,14.27,13.20,11.46,-13.1%,100.85,71.91,116.63,62.2%,-75.3%,-45.7%,,,50.0%,0.0%,86.56,0.00,86.56,100.0%,0.0%,,,
전자랜드 김천점,경북양판담당 전자랜드,혼매경북팀,전자랜드,양판,32.6%,48.87,33.09,67.7%,0.0%,15.78,4,28,14.3%,X,0.00,0.00,1.46,,29.09,19.33,33.09,71.1%,,,,,100.0%,0.0%,13.33,1.93,15.25,87.4%,12.6%,,,
전자랜드 오광장점_가전,경북양판담당 전자랜드,혼매경북팀,전자랜드,양판,32.6%,321.48,120.51,37.5%,0.0%,200.97,8,80,10.0%,X,26.18,21.82,11.18,-48.8%,194.32,125.98,120.51,-4.3%,-44.4%,-81.4%,,,50.0%,0.0%,206.09,1.18,207.27,99.4%,0.6%,,,
전자랜드 죽전점_가전,경북양판담당 전자랜드,혼매경북팀,전자랜드,양판,32.6%,252.21,127.72,50.6%,0.0%,124.48,13,89,14.6%,X,12.04,10.33,10.47,1.4%,149.01,113.35,127.72,12.7%,-11.3%,-31.2%,,,50.0%,0.0%,76.18,2.70,78.89,96.6%,3.4%,,,
(신)이마트 E/T천안아산점,충청담당 이마트,혼매충청팀(A),이마트,대형마트,24.5%,141.10,78.62,55.7%,0.0%,62.48,8,44,18.2%,X,12.63,8.28,2.25,-72.8%,161.40,103.98,78.62,-24.4%,-48.4%,-97.2%,,,50.0%,0.0%,72.57,0.85,73.42,98.8%,1.2%,,,
(신)이마트 아산점,충청담당 이마트,혼매충청팀(A),이마트,대형마트,24.5%,27.15,11.59,42.7%,0.0%,15.56,1,7,14.3%,X,0.00,0.00,0.00,M&B미판매점,29.25,10.01,11.59,15.7%,M&B미판매점,M&B미판매점,,,50.0%,0.0%,11.59,0.00,11.59,100.0%,0.0%,,,
(신)이마트 천안점,충청담당 이마트,혼매충청팀(A),이마트,대형마트,24.5%,90.74,78.17,86.1%,0.0%,12.58,14,48,29.2%,X,8.86,5.09,9.17,80.1%,102.02,60.53,78.17,29.1%,51.0%,55.7%,,,100.0%,0.0%,76.13,2.35,78.49,97.0%,3.0%,,,
