지점,평가그룹,영업팀,채널,유통,트롬 건조기 수당,통돌이 수당,스타일러 수당,DIOS 수당,일반 김치 기타 수당,청소기 수당,식기세척기 수당,조리기기 수당,TV 수당,사운드바 수당,에어컨 수당,에어케어 수당,정수기 수당,가전수당계,PC 수당,"올레드48""↓ 수당",시네빔 수당,모니터 수당,포터블 수당,톤플러스 수당,pc수당계,지점수당,트롬 건조기 수량,통돌이 수량,스타일러 수량,DIOS 수량,일반 김치 기타 수량,청소기 수량,식기세척기 수량,조리기기 수량,TV 수량,사운드바 수량,에어컨 수량,에어케어 수량,정수기 수량,가전수량계,PC 수량,"올레드48""↓ 수량",시네빔 수량,모니터 수량,포터블 수량,톤플러스 수량,PC수량계,지점수량계
(신)이마트 E/T수원점,대형마트담당 이마트 상위리그,혼매경기팀,이마트,대형마트,"15,000 ",0 ,0 ,0 ,"10,000 ",0 ,0 ,0 ,"3,000 ",0 ,0 ,0 ,0 ,"28,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"28,000 ",1,0,0,0,1,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,4
(신)이마트 수원점,대형마트담당 이마트 상위리그,혼매경기팀,이마트,대형마트,0 ,0 ,0 ,"30,000 ","15,000 ","30,000 ",0 ,0 ,"23,000 ",0 ,0 ,0 ,"240,000 ","338,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"338,000 ",0,0,0,1,2,1,0,0,3,0,0,0,3,10,0,0,0,0,0,0,0,10
(신)이마트 흥덕점,대형마트담당 이마트 하위리그,혼매경기팀,이마트,대형마트,0 ,0 ,"40,000 ",0 ,0 ,"30,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"70,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"70,000 ",0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
E/T동탄점,대형마트담당 이마트 하위리그,혼매경기팀,이마트,대형마트,"135,000 ","20,000 ",0 ,"10,000 ",0 ,0 ,0 ,0 ,"158,000 ","3,600 ",0 ,0 ,"80,000 ","406,600 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"406,600 ",4,1,0,1,0,0,0,0,7,2,0,0,1,16,0,0,0,0,0,0,0,16
신 홈플러스 화성향남점,대형마트담당 홈플러스,혼매경기팀,홈플러스,대형마트,0 ,"40,000 ",0 ,0 ,"45,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"80,000 ","165,000 ","90,000 ",0 ,0 ,0 ,0 ,0 ,"90,000 ","255,000 ",0,2,0,0,2,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,1,6
(신)이마트 안성점,대형마트담당 이마트 하위리그,혼매경기팀,이마트,대형마트,"190,000 ",0 ,0 ,0 ,"60,000 ","30,000 ","50,000 ",0 ,0 ,0 ,0 ,"20,000 ","230,000 ","580,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"580,000 ",5,0,0,0,3,1,1,0,0,0,0,1,3,14,0,0,0,0,0,0,0,14
E/T스타필드안성점,대형마트담당 이마트 상위리그,혼매경기팀,이마트,대형마트,"10,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"40,000 ",0 ,0 ,0 ,0 ,"50,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"50,000 ",1,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,3
(신)홈플러스 평택안중점,대형마트담당 홈플러스,혼매경기팀,홈플러스,대형마트,"40,000 ","10,000 ",0 ,0 ,"50,000 ",0 ,0 ,"60,000 ","30,000 ",0 ,0 ,0 ,"80,000 ","270,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"270,000 ",2,1,0,0,2,0,0,2,1,0,0,0,1,9,0,0,0,0,0,0,0,9
신 홈플러스 송탄점,대형마트담당 홈플러스,혼매경기팀,홈플러스,대형마트,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(신)이마트 E/T구성점,대형마트담당 이마트 상위리그,혼매경기팀,이마트,대형마트,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"21,500 ",0 ,0 ,0 ,0 ,"21,500 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"21,500 ",0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2
(신)이마트 수지점,대형마트담당 이마트 하위리그,혼매경기팀,이마트,대형마트,0 ,0 ,0 ,0 ,"10,000 ",0 ,0 ,0 ,"3,000 ",0 ,0 ,"10,000 ","80,000 ","103,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"103,000 ",0,0,0,0,2,0,0,0,2,0,0,1,1,6,0,0,0,0,0,0,0,6
(신)이마트 용인점,대형마트담당 이마트 하위리그,혼매경기팀,이마트,대형마트,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"80,000 ","80,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"80,000 ",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
(신)이마트 죽전점,대형마트담당 이마트 상위리그,혼매경기팀,이마트,대형마트,"95,000 ",0 ,"40,000 ",0 ,0 ,"30,000 ","75,000 ",0 ,"51,500 ",0 ,"15,000 ",0 ,0 ,"306,500 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"306,500 ",3,0,1,0,0,1,2,0,3,0,1,0,0,11,0,0,0,0,0,0,0,11
(신)이마트 광교점,대형마트담당 이마트 하위리그,혼매경기팀,이마트,대형마트,"40,000 ",0 ,0 ,0 ,"10,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"80,000 ","130,000 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"130,000 ",2,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,4
(신)이마트 동백점,대형마트담당 이마트 하위리그,혼매경기팀,이마트,대형마트,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(신)이마트 보라점,대형마트담당 이마트 하위리그,혼매경기팀,이마트,대형마트,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
