지점,평가그룹,영업팀,채널,유통,경쟁력 전년누적실판M/S,경쟁력 당월채널실판M/S,경쟁력 당월실판가전+ITM/S,경쟁력 전년누적比,경쟁력 전년누적比점수,경쟁력 전년누적比평점,경쟁력 당월채널比,경쟁력 당월채널比점수,경쟁력 당월채널比평점,경쟁력 당월채널총판M/S,경쟁력 당월총판가전+ITM/S,경쟁력 당월채널比
신 홈플러스 오산점,대형마트담당홈플러스,혼매경기팀,홈플러스,대형마트,0.77184301,0.703573138,0.926453671,0.154610661,100,15,0.222880533,100,15,0.703573138,0.926453671,0.222880533
(신)이마트 E/T수원점,대형마트담당이마트,혼매경기팀,이마트,대형마트,0.565610096,0.525000286,0.306131521,-0.259478575,40,6,-0.218868765,30,4.5,0.525000286,0.306131521,-0.218868765
(신)이마트 수원점,대형마트담당이마트,혼매경기팀,이마트,대형마트,0.585132885,0.525000286,0.659862666,0.074729782,97.36489088,14.60473363,0.134862381,100,15,0.525000286,0.659862666,0.134862381
(신)이마트 흥덕점,대형마트담당이마트,혼매경기팀,이마트,대형마트,0.609484553,0.525000286,0.681335043,0.071850489,100,15,0.156334757,100,15,0.525000286,0.681335043,0.156334757
E/T동탄점,대형마트담당이마트,혼매경기팀,이마트,대형마트,0.777342707,0.525000286,0.328740877,-0.44860183,40,6,-0.196259408,30,4.5,0.525000286,0.328740877,-0.196259408
신 홈플러스 화성향남점,대형마트담당홈플러스,혼매경기팀,홈플러스,대형마트,0.551942618,0.703573138,0.667020925,0.115078307,100,15,-0.036552213,30,4.5,0.703573138,0.667020925,-0.036552213
(신)이마트 안성점,대형마트담당이마트,혼매경기팀,이마트,대형마트,0.656395711,0.525000286,0.735965537,0.079569826,100,15,0.210965251,100,15,0.525000286,0.735965537,0.210965251
E/T스타필드안성점,대형마트담당이마트,혼매경기팀,이마트,대형마트,0.628896245,0.525000286,0.655801257,0.026905012,80,12,0.130800971,100,15,0.525000286,0.655801257,0.130800971
(신)홈플러스 평택안중점,대형마트담당홈플러스,혼매경기팀,홈플러스,대형마트,0.490448148,0.703573138,0.933440078,0.442991931,100,15,0.229866941,100,15,0.703573138,0.933440078,0.229866941
신 홈플러스 송탄점,대형마트담당홈플러스,혼매경기팀,홈플러스,대형마트,0.573234703,0.703573138,0.719695233,0.14646053,100,15,0.016122095,86.12209546,12.91831432,0.703573138,0.719695233,0.016122095
(신)이마트 E/T구성점,대형마트담당이마트,혼매경기팀,이마트,대형마트,0.596020636,0.525000286,0.17199333,-0.424027307,40,6,-0.353006956,30,4.5,0.525000286,0.17199333,-0.353006956
(신)이마트 수지점,대형마트담당이마트,혼매경기팀,이마트,대형마트,0.498207256,0.525000286,0.341179402,-0.157027854,40,6,-0.183820884,30,4.5,0.525000286,0.341179402,-0.183820884
(신)이마트 용인점,대형마트담당이마트,혼매경기팀,이마트,대형마트,0.561739076,0.525000286,0.544151747,-0.017587329,51.20633568,7.680950353,0.019151462,89.15146167,13.37271925,0.525000286,0.544151747,0.019151462
(신)이마트 죽전점,대형마트담당이마트,혼매경기팀,이마트,대형마트,0.687284528,0.525000286,0.685311366,-0.001973161,100,15,0.160311081,100,15,0.525000286,0.685311366,0.160311081
(신)이마트 광교점,대형마트담당이마트,혼매경기팀,이마트,대형마트,0.587032492,0.525000286,0.477950867,-0.109081625,40,6,-0.047049419,30,4.5,0.525000286,0.477950867,-0.047049419
(신)이마트 동백점,대형마트담당이마트,혼매경기팀,이마트,대형마트,0.597297375,0.525000286,0.346932138,-0.250365237,40,6,-0.178068148,30,4.5,0.525000286,0.346932138,-0.178068148
(신)이마트 보라점,대형마트담당이마트,혼매경기팀,이마트,대형마트,0.994063189,0.525000286,0.998369542,0.004306354,평가제외,평가제외,0.473369257,평가제외,평가제외,0.525000286,0.998369542,0.473369257
(신)이마트 서수원점,대형마트담당이마트,혼매경기팀,이마트,대형마트,0.555149219,0.525000286,0.532441965,-0.022707255,40,6,0.007441679,77.44167879,11.61625182,0.525000286,0.532441965,0.007441679
일렉트로마트 STF화서,대형마트담당이마트,혼매경기팀,이마트,대형마트,0.419028748,0.525000286,0.472896175,0.053867427,86.93371341,13.04005701,-0.052104111,30,4.5,0.525000286,0.472896175,-0.052104111
신 홈플러스 서수원점,대형마트담당홈플러스,혼매경기팀,홈플러스,대형마트,0.429590782,0.703573138,0.147984441,-0.281606341,40,6,-0.555588697,30,4.5,0.703573138,0.147984441,-0.555588697
신 홈플러스 대구수성점,경북대형마트담당홈플러스,혼매경북팀,홈플러스,대형마트,0.548235515,0.703573138,0.726806006,0.178570491,100,15,0.023232868,93.2328682,13.98493023,0.703573138,0.726806006,0.023232868
신 홈플러스 상인점,경북대형마트담당홈플러스,혼매경북팀,홈플러스,대형마트,0.624921404,0.703573138,0.635701,0.010779596,65.38979821,9.808469732,-0.067872138,30,4.5,0.703573138,0.635701,-0.067872138
신 홈플러스 죽도점,경북대형마트담당홈플러스,혼매경북팀,홈플러스,대형마트,0.997613805,0.703573138,1,0.002386195,100,15,0.296426862,100,15,0.703573138,1,0.296426862
신 홈플러스 포항점,경북대형마트담당홈플러스,혼매경북팀,홈플러스,대형마트,0.574053276,0.703573138,0.351566794,-0.222486483,40,6,-0.352006344,30,4.5,0.703573138,0.351566794,-0.352006344
(신)이마트 구미점,경북대형마트담당이마트,혼매경북팀,이마트,대형마트,0.534262303,0.525000286,0.503406239,-0.030856064,40,6,-0.021594047,48.40595322,7.260892982,0.525000286,0.503406239,-0.021594047
(신)이마트 동구미점,경북대형마트담당이마트,혼매경북팀,이마트,대형마트,0.537763535,0.525000286,0.518444012,-0.019319524,50.34023822,7.551035732,-0.006556274,63.443726,9.5165589,0.525000286,0.518444012,-0.006556274
(신)이마트 성서점,경북대형마트담당이마트,혼매경북팀,이마트,대형마트,0.52155981,0.525000286,0.556205545,0.034645735,77.32286769,11.59843015,0.03120526,100,15,0.525000286,0.556205545,0.03120526
(신)이마트 영천점,경북대형마트담당이마트,혼매경북팀,이마트,대형마트,0.458455802,0.525000286,0.324384075,-0.134071726,40,6,-0.200616211,30,4.5,0.525000286,0.324384075,-0.200616211
(신)이마트 칠성점,경북대형마트담당이마트,혼매경북팀,이마트,대형마트,0.594792733,0.525000286,0.567566903,-0.02722583,40,6,0.042566618,100,15,0.525000286,0.567566903,0.042566618
(신)이마트 E/T비산점,경북대형마트담당이마트,혼매경북팀,이마트,대형마트,0.511068583,0.525000286,0.462507053,-0.04856153,40,6,-0.062493233,30,4.5,0.525000286,0.462507053,-0.062493233
(신)이마트 김천점,경북대형마트담당이마트,혼매경북팀,이마트,대형마트,0.389007622,0.525000286,0.465467222,0.0764596,98.2298,14.73447,-0.059533064,30,4.5,0.525000286,0.465467222,-0.059533064
(신)이마트 만촌점,경북대형마트담당이마트,혼매경북팀,이마트,대형마트,0.575221107,0.525000286,0.747128711,0.171907604,100,15,0.222128425,100,15,0.525000286,0.747128711,0.222128425
(신)이마트 반야월점,경북대형마트담당이마트,혼매경북팀,이마트,대형마트,0.507189851,0.525000286,0.598987681,0.09179783,100,15,0.073987395,100,15,0.525000286,0.598987681,0.073987395
(신)이마트 상주점,경북대형마트담당이마트,혼매경북팀,이마트,대형마트,0.527085276,0.525000286,0.783627923,0.256542647,100,15,0.258627637,100,15,0.525000286,0.783627923,0.258627637
(신)이마트 경산점,경북대형마트담당이마트,혼매경북팀,이마트,대형마트,0.555770869,0.525000286,0.481127513,-0.074643356,40,6,-0.043872773,30,4.5,0.525000286,0.481127513,-0.043872773
(신)이마트 월배점,경북대형마트담당이마트,혼매경북팀,이마트,대형마트,0.580542168,0.525000286,0.533235925,-0.047306244,40,6,0.008235639,78.23563906,11.73534586,0.525000286,0.533235925,0.008235639
(신)이마트 이동점,경북대형마트담당이마트,혼매경북팀,이마트,대형마트,0.470135767,0.525000286,0.481309609,0.011173842,65.5869212,9.838038181,-0.043690677,30,4.5,0.525000286,0.481309609,-0.043690677
(신)이마트 포항점,경북대형마트담당이마트,혼매경북팀,이마트,대형마트,0.547346898,0.525000286,0.45588982,-0.091457078,40,6,-0.069110465,30,4.5,0.525000286,0.45588982,-0.069110465
신 홈플러스 경산점,경북대형마트담당홈플러스,혼매경북팀,홈플러스,대형마트,0.704671616,0.703573138,0.626308374,-0.078363242,40,6,-0.077264764,30,4.5,0.703573138,0.626308374,-0.077264764
신 홈플러스 문경점,경북대형마트담당홈플러스,혼매경북팀,홈플러스,대형마트,0.478188874,0.703573138,0.682588837,0.204399963,100,15,-0.020984301,49.01569891,7.352354836,0.703573138,0.682588837,-0.020984301
신 홈플러스 안동점,경북대형마트담당홈플러스,혼매경북팀,홈플러스,대형마트,0.596609772,0.703573138,0.702130322,0.10552055,100,15,-0.001442816,68.55718427,10.28357764,0.703573138,0.702130322,-0.001442816
신 홈플러스 영주점,경북대형마트담당홈플러스,혼매경북팀,홈플러스,대형마트,0.668780457,0.703573138,0.607242649,-0.061537807,40,6,-0.096330489,30,4.5,0.703573138,0.607242649,-0.096330489
전자랜드 안양비산점,강남/경기양판담당전자랜드,혼매강남팀,전자랜드,양판,0.623343551,0.520357993,0.720732977,0.097389426,100,15,0.200374983,100,15,0.577982766,0.829163072,0.251180305
전자랜드 가든파이브점,강남/경기양판담당전자랜드,혼매강남팀,전자랜드,양판,0.741830603,0.520357993,0.502057066,-0.239773537,40,6,-0.018300927,51.69907293,7.754860939,0.577982766,0.522501533,-0.055481233
전자랜드 경기광주점,강남/경기양판담당전자랜드,혼매강남팀,전자랜드,양판,0.618669918,0.520357993,0.470676005,-0.147993913,40,6,-0.049681988,30,4.5,0.577982766,0.532738095,-0.045244671
전자랜드 발안점,강남/경기양판담당전자랜드,혼매경기팀,전자랜드,양판,0.491034755,0.520357993,0.534232429,0.043197674,81.59883697,12.23982555,0.013874435,83.87443547,12.58116532,0.577982766,0.5,-0.077982766
전자랜드 오산점,강남/경기양판담당전자랜드,혼매경기팀,전자랜드,양판,0.653286813,0.520357993,0.742850676,0.089563863,100,15,0.222492682,100,15,0.577982766,0.664864865,0.086882099
전자랜드 평택본점,강남/경기양판담당전자랜드,혼매경기팀,전자랜드,양판,0.522686863,0.520357993,0.550971103,0.028284239,74.14211971,11.12131796,0.030613109,100,15,0.577982766,0.579925651,0.001942884
전자랜드 경산점,경북양판담당전자랜드,혼매경북팀,전자랜드,양판,0.652492037,0.520357993,0.569562579,-0.082929457,40,6,0.049204586,100,15,0.577982766,0.697297297,0.119314531
전자랜드 안동점_가전,경북양판담당전자랜드,혼매경북팀,전자랜드,양판,0.603299274,0.520357993,0.510753444,-0.09254583,40,6,-0.009604549,60.39545073,9.05931761,0.577982766,0.645533141,0.067550375
