지점,평가그룹,영업팀,채널,유통,구독 목표,구독 실판,구독모수 실판,구독비중 실판,구독비중 실판,구독 목표比,구독 목표比 점수,구독 목표比 평점,구독비중 채널평균比,구독비중 채널평균比 점수,구독비중 채널평균比 평점,구독 목표,구독 총판,구독모수 총판,구독비중 총판,구독비중 총판,구독 목표比,구독비중 채널평균比
(신)이마트 영천점,경북대형마트담당이마트,혼매경북팀,이마트,대형마트,6,0,33,0.151926177,0,0,40,14,-0.151926177,20,1,6,0,33,0.170644197,0,0,-0.170644197
(신)이마트 칠성점,경북대형마트담당이마트,혼매경북팀,이마트,대형마트,25,21,137,0.151926177,0.153284672,0.84,64,22.4,0.001358494,50.67924721,2.533962361,25,27,143,0.170644197,0.188811189,1.08,0.018166992
(신)이마트 E/T비산점,경북대형마트담당이마트,혼매경북팀,이마트,대형마트,36,20,181,0.151926177,0.110497238,0.555555556,40,14,-0.04142894,20,1,36,23,184,0.170644197,0.125,0.638888889,-0.045644197
(신)이마트 김천점,경북대형마트담당이마트,혼매경북팀,이마트,대형마트,8,2,113,0.151926177,0.017699115,0.25,40,14,-0.134227062,20,1,8,1,112,0.170644197,0.008928571,0.125,-0.161715625
(신)이마트 만촌점,경북대형마트담당이마트,혼매경북팀,이마트,대형마트,31,29,187,0.151926177,0.155080214,0.935483871,73.5483871,25.74193548,0.003154037,51.5770184,2.57885092,31,34,192,0.170644197,0.177083333,1.096774194,0.006439137
(신)이마트 반야월점,경북대형마트담당이마트,혼매경북팀,이마트,대형마트,13,4,108,0.151926177,0.037037037,0.307692308,40,14,-0.11488914,20,1,13,5,109,0.170644197,0.04587156,0.384615385,-0.124772637
(신)이마트 상주점,경북대형마트담당이마트,혼매경북팀,이마트,대형마트,8,9,76,0.151926177,0.118421053,1.125,92.5,32.375,-0.033505124,33.24743776,1.662371888,8,9,76,0.170644197,0.118421053,1.125,-0.052223144
(신)이마트 경산점,경북대형마트담당이마트,혼매경북팀,이마트,대형마트,29,32,137,0.151926177,0.233576642,1.103448276,90.34482759,31.62068966,0.081650465,90.82523261,4.541261631,29,35,140,0.170644197,0.25,1.206896552,0.079355803
(신)이마트 월배점,경북대형마트담당이마트,혼매경북팀,이마트,대형마트,26,21,150,0.151926177,0.14,0.807692308,60.76923077,21.26923077,-0.011926177,44.03691145,2.201845572,26,24,153,0.170644197,0.156862745,0.923076923,-0.013781452
(신)이마트 이동점,경북대형마트담당이마트,혼매경북팀,이마트,대형마트,17,4,130,0.151926177,0.030769231,0.235294118,40,14,-0.121156946,20,1,17,8,134,0.170644197,0.059701493,0.470588235,-0.110942704
(신)이마트 포항점,경북대형마트담당이마트,혼매경북팀,이마트,대형마트,20,18,111,0.151926177,0.162162162,0.9,70,24.5,0.010235985,55.11799253,2.755899626,20,22,115,0.170644197,0.191304348,1.1,0.020660151
신 홈플러스 경산점,경북대형마트담당홈플러스,혼매경북팀,홈플러스,대형마트,10,8,44,0.173675762,0.181818182,0.8,60,21,0.008142419,54.07120969,2.703560484,10,-7,29,0.167529107,-0.24137931,-0.7,-0.408908418
신 홈플러스 문경점,경북대형마트담당홈플러스,혼매경북팀,홈플러스,대형마트,2,1,9,0.173675762,0.111111111,0.5,40,14,-0.062564651,20,1,2,-4,4,0.167529107,-1,-2,-1.167529107
신 홈플러스 안동점,경북대형마트담당홈플러스,혼매경북팀,홈플러스,대형마트,10,11,70,0.173675762,0.157142857,1.1,90,31.5,-0.016532905,41.73354735,2.086677368,10,10,69,0.167529107,0.144927536,1,-0.022601571
신 홈플러스 영주점,경북대형마트담당홈플러스,혼매경북팀,홈플러스,대형마트,4,1,37,0.173675762,0.027027027,0.25,40,14,-0.146648735,20,1,4,-8,28,0.167529107,-0.285714286,-2,-0.453243393
전자랜드 안양비산점,강남/경기양판담당전자랜드,혼매강남팀,전자랜드,양판,16,7,46,0.147619048,0.152173913,0.4375,40,14,0.004554865,52.27743271,2.613871636,16,11,108,0.158804671,0.101851852,0.6875,-0.05695282
전자랜드 가든파이브점,강남/경기양판담당전자랜드,혼매강남팀,전자랜드,양판,12,8,54,0.147619048,0.148148148,0.666666667,40,14,0.000529101,50.26455026,2.513227513,12,6,44,0.158804671,0.136363636,0.5,-0.022441035
전자랜드 경기광주점,강남/경기양판담당전자랜드,혼매강남팀,전자랜드,양판,19,21,102,0.147619048,0.205882353,1.105263158,90.52631579,31.68421053,0.058263305,79.13165266,3.956582633,19,21,121,0.158804671,0.173553719,1.105263158,0.014749048
전자랜드 발안점,강남/경기양판담당전자랜드,혼매경기팀,전자랜드,양판,10,12,65,0.147619048,0.184615385,1.2,100,35,0.036996337,68.4981685,3.424908425,10,7,45,0.158804671,0.155555556,0.7,-0.003249116
전자랜드 오산점,강남/경기양판담당전자랜드,혼매경기팀,전자랜드,양판,20,9,95,0.147619048,0.094736842,0.45,40,14,-0.052882206,20,1,20,14,63,0.158804671,0.222222222,0.7,0.063417551
전자랜드 평택본점,강남/경기양판담당전자랜드,혼매경기팀,전자랜드,양판,15,8,87,0.147619048,0.091954023,0.533333333,40,14,-0.055665025,20,1,15,14,84,0.158804671,0.166666667,0.933333333,0.007861995
전자랜드 경산점,경북양판담당전자랜드,혼매경북팀,전자랜드,양판,22,7,57,0.147619048,0.122807018,0.318181818,40,14,-0.02481203,37.59398496,1.879699248,22,3,70,0.158804671,0.042857143,0.136363636,-0.115947529
전자랜드 안동점_가전,경북양판담당전자랜드,혼매경북팀,전자랜드,양판,17,3,103,0.147619048,0.029126214,0.176470588,40,14,-0.118492834,20,1,17,6,145,0.158804671,0.04137931,0.352941176,-0.117425361
전자랜드 우현점_가전,경북양판담당전자랜드,혼매경북팀,전자랜드,양판,25,16,151,0.147619048,0.105960265,0.64,40,14,-0.041658783,20,1,25,8,51,0.158804671,0.156862745,0.32,-0.001941926
전자랜드 현대시티아울렛 대구점,경북양판담당전자랜드,혼매경북팀,전자랜드,양판,17,12,103,0.147619048,0.116504854,0.705882353,50.58823529,17.70588235,-0.031114193,34.44290337,1.722145169,17,19,104,0.158804671,0.182692308,1.117647059,0.023887636
전자랜드 광평점_가전,경북양판담당전자랜드,혼매경북팀,전자랜드,양판,19,20,126,0.147619048,0.158730159,1.052631579,85.26315789,29.84210526,0.011111111,55.55555556,2.777777778,19,25,107,0.158804671,0.23364486,1.315789474,0.074840188
전자랜드 김천점,경북양판담당전자랜드,혼매경북팀,전자랜드,양판,10,5,45,0.147619048,0.111111111,0.5,40,14,-0.036507937,31.74603175,1.587301587,10,2,41,0.158804671,0.048780488,0.2,-0.110024184
전자랜드 오광장점_가전,경북양판담당전자랜드,혼매경북팀,전자랜드,양판,59,57,408,0.147619048,0.139705882,0.966101695,76.61016949,26.81355932,-0.007913165,46.04341737,2.302170868,59,30,165,0.158804671,0.181818182,0.508474576,0.02301351
전자랜드 죽전점_가전,경북양판담당전자랜드,혼매경북팀,전자랜드,양판,37,29,166,0.147619048,0.174698795,0.783783784,58.37837838,20.43243243,0.027079748,63.53987378,3.176993689,37,36,205,0.158804671,0.175609756,0.972972973,0.016805085
(신)이마트 E/T천안아산점,충청담당이마트,혼매충청팀(A),이마트,대형마트,42,38,244,0.151926177,0.155737705,0.904761905,70.47619048,24.66666667,0.003811528,51.9057639,2.595288195,42,17,223,0.170644197,0.076233184,0.404761905,-0.094411013
(신)이마트 아산점,충청담당이마트,혼매충청팀(A),이마트,대형마트,7,0,35,0.151926177,0,0,40,14,-0.151926177,20,1,7,1,36,0.170644197,0.027777778,0.142857143,-0.142866419
(신)이마트 천안점,충청담당이마트,혼매충청팀(A),이마트,대형마트,25,23,141,0.151926177,0.163120567,0.92,72,25.2,0.01119439,55.59719513,2.779859757,25,31,149,0.170644197,0.208053691,1.24,0.037409494
신 홈플러스 청주성안점,충청담당홈플러스,혼매충청팀(A),홈플러스,대형마트,2,1,0,0.173675762,,0.5,40,14,,100,5,2,1,0,0.167529107,,0.5,
(신)이마트 천안서북점,충청담당이마트,혼매충청팀(A),이마트,대형마트,16,10,98,0.151926177,0.102040816,0.625,40,14,-0.049885361,20,1,16,16,104,0.170644197,0.153846154,1,-0.016798043
(신)이마트 천안터미널점,충청담당이마트,혼매충청팀(A),이마트,대형마트,6,3,48,0.151926177,0.0625,0.5,40,14,-0.089426177,20,1,6,3,48,0.170644197,0.0625,0.5,-0.108144197
신 홈플러스 동청주점,충청담당홈플러스,혼매충청팀(A),홈플러스,대형마트,9,4,74,0.173675762,0.054054054,0.444444444,40,14,-0.119621708,20,1,9,6,76,0.167529107,0.078947368,0.666666667,-0.088581739
(신)이마트 서산점,충청담당이마트,혼매충청팀(A),이마트,대형마트,10,8,37,0.151926177,0.216216216,0.8,60,21,0.064290039,82.14501955,4.107250978,10,6,35,0.170644197,0.171428571,0.6,0.000784375
(신)이마트 청주점,충청담당이마트,혼매충청팀(A),이마트,대형마트,21,20,118,0.151926177,0.169491525,0.952380952,75.23809524,26.33333333,0.017565348,58.78267416,2.939133708,21,15,113,0.170644197,0.132743363,0.714285714,-0.037900834
(신)이마트 충주점,충청담당이마트,혼매충청팀(A),이마트,대형마트,16,16,108,0.151926177,0.148148148,1,80,28,-0.003778029,48.11098552,2.405549276,16,20,112,0.170644197,0.178571429,1.25,0.007927232
신 홈플러스 천안점,충청담당홈플러스,혼매충청팀(A),홈플러스,대형마트,5,0,22,0.173675762,0,0,40,14,-0.173675762,20,1,5,1,23,0.167529107,0.043478261,0.2,-0.124050847
(신)이마트 보령점,충청담당이마트,혼매충청팀(A),이마트,대형마트,3,1,22,0.151926177,0.045454545,0.333333333,40,14,-0.106471632,20,1,3,2,23,0.170644197,0.086956522,0.666666667,-0.083687675
신 홈플러스 논산점,충청담당홈플러스,혼매충청팀(A),홈플러스,대형마트,3,4,16,0.173675762,0.25,1.333333333,100,35,0.076324238,88.16211878,4.408105939,3,4,16,0.167529107,0.25,1.333333333,0.082470893
신 홈플러스 보령점,충청담당홈플러스,혼매충청팀(A),홈플러스,대형마트,1,1,11,0.173675762,0.090909091,1,80,28,-0.082766672,20,1,1,1,11,0.167529107,0.090909091,1,-0.076620016
신 홈플러스 오창점,충청담당홈플러스,혼매충청팀(A),홈플러스,대형마트,7,5,50,0.173675762,0.1,0.714285714,51.42857143,18,-0.073675762,20,1,7,5,50,0.167529107,0.1,0.714285714,-0.067529107
전자랜드 분평점_가전,충청담당전자랜드,혼매충청팀(A),전자랜드,양판,29,27,172,0.147619048,0.156976744,0.931034483,73.10344828,25.5862069,0.009357697,54.67884828,2.733942414,29,30,201,0.158804671,0.149253731,1.034482759,-0.00955094
전자랜드 쌍용점_가전,충청담당전자랜드,혼매충청팀(A),전자랜드,양판,21,17,109,0.147619048,0.155963303,0.80952381,60.95238095,21.33333333,0.008344255,54.17212757,2.708606378,21,15,101,0.158804671,0.148514851,0.714285714,-0.01028982
전자랜드 천안메가마트점,충청담당전자랜드,혼매충청팀(A),전자랜드,양판,5,3,35,0.147619048,0.085714286,0.6,40,14,-0.061904762,20,1,5,1,33,0.158804671,0.03030303,0.2,-0.128501641
