지점,평가그룹,영업팀,채널,유통,로봇청소기Gross 전년마감실판,로봇청소기Gross 전년동기실판,로봇청소기Gross 당월실판,로봇청소기Gross 전년동기比,로봇청소기Gross 전년동기比평점,로봇청소기수량 전년마감실판,로봇청소기수량 전년동기실판,로봇청소기수량 목표,로봇청소기수량 당월실판,로봇청소기수량 전년동기比,로봇청소기수량 목표比,로봇청소기수량 목표比평점,로봇청소기 평점,스타일러Gross 전년마감실판,스타일러Gross 전년동기실판,스타일러Gross 당월실판,스타일러Gross 전년동기比,스타일러Gross 전년동기比평점,스타일러수량 전년마감실판,스타일러수량 전년동기실판,스타일러수량 목표,스타일러수량 당월실판,스타일러수량 전년동기比,스타일러수량 목표比,스타일러수량 목표比평점,스타일러 평점,식기세척기Gross 전년마감실판,식기세척기Gross 전년동기실판,식기세척기Gross 당월실판,식기세척기Gross 전년동기比,식기세척기Gross 전년동기比평점,식기세척기수량 전년마감실판,식기세척기수량 전년동기실판,식기세척기수량 목표,식기세척기수량 당월실판,식기세척기수량 전년동기比,식기세척기수량 목표比,식기세척기수량 목표比평점,식기세척기 평점,스탠바이미Gross 전년마감실판,스탠바이미Gross 전년동기실판,스탠바이미Gross 당월실판,스탠바이미Gross 전년동기比,스탠바이미Gross 전년동기比평점,스탠바이미수량 전년마감실판,스탠바이미수량 전년동기실판,스탠바이미수량 목표,스탠바이미수량 당월실판,스탠바이미수량 전년동기比,스탠바이미수량 목표比,스탠바이미수량 목표比평점,스탠바이미 평점,M&B제품계Gross 전년마감실판,M&B제품계Gross 전년동기실판,M&B제품계Gross 당월실판,M&B제품계Gross 전년동기比,M&B제품계수량 전년마감실판,M&B제품계수량 전년동기실판,M&B제품계수량 당월실판,M&B제품계수량 전년동기比,M&B Gross 평점,M&B 수량 평점,M&B 평점
(신)이마트 천호점,대형마트담당 이마트 하위리그,혼매강남팀,이마트,대형마트,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,5.0,5.0,0.0,-100.0%,0.750,3.0,3.0,0.0,0.0,-100.0%,,2.500,3.250,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.9,0.9,0.0,-100.0%,0.750,1.0,1.0,0.0,0.0,-100.0%,,2.500,3.250,5.9,5.9,0.0,-100.0%,4.0,4.0,0.0,-100.0%,3.000,10.000,13.000
(신)이마트 평촌점,대형마트담당 이마트 상위리그,혼매강남팀,이마트,대형마트,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,2.3,,2.500,0.0,0.0,0.0,1.0,,,2.500,5.000,1.6,1.6,0.0,-100.0%,0.750,1.0,1.0,0.0,0.0,-100.0%,,2.500,3.250,0.9,0.0,1.0,,2.500,1.0,0.0,0.0,1.0,,,2.500,5.000,2.5,1.6,3.3,103.9%,2.0,1.0,2.0,100.0%,6.500,10.000,16.500
이마트 E/T군포점,대형마트담당 이마트 상위리그,혼매강남팀,이마트,대형마트,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,5.4,1.8,1.9,4.4%,1.110,3.0,1.0,0.0,1.0,0.0%,,2.500,3.610,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,2.0,0.0,0.9,,2.500,2.0,0.0,0.0,1.0,,,2.500,5.000,7.4,1.8,2.8,56.7%,5.0,1.0,2.0,100.0%,5.110,10.000,15.110
신 홈플러스 서울남현점,대형마트담당 홈플러스,혼매강남팀,홈플러스,대형마트,1.6,1.7,0.0,-100.0%,0.750,2.0,2.0,0.0,0.0,-100.0%,,2.500,3.250,3.8,3.8,2.3,-39.0%,0.750,3.0,3.0,0.0,1.0,-66.7%,,2.500,3.250,3.1,3.1,1.6,-48.0%,0.750,2.0,2.0,0.0,1.0,-50.0%,,2.500,3.250,1.9,1.9,0.0,-100.0%,0.750,2.0,2.0,0.0,0.0,-100.0%,,2.500,3.250,10.4,10.4,3.9,-62.5%,9.0,9.0,2.0,-77.8%,3.000,10.000,13.000
신 홈플러스 평촌점,대형마트담당 홈플러스,혼매강남팀,홈플러스,대형마트,1.6,1.7,0.0,-100.0%,0.750,2.0,2.0,0.0,0.0,-100.0%,,2.500,3.250,7.3,5.5,3.7,-32.8%,0.750,4.0,3.0,0.0,2.0,-33.3%,,2.500,3.250,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,2.7,1.8,1.0,-43.4%,0.750,3.0,2.0,0.0,1.0,-50.0%,,2.500,3.250,11.6,9.0,4.7,-47.5%,9.0,7.0,3.0,-57.1%,3.000,10.000,13.000
(신)이마트 가든5점,대형마트담당 이마트 하위리그,혼매강남팀,이마트,대형마트,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,3.5,1.8,0.0,-100.0%,0.750,2.0,1.0,0.0,0.0,-100.0%,,2.500,3.250,2.9,2.9,0.0,-100.0%,0.750,2.0,2.0,0.0,0.0,-100.0%,,2.500,3.250,1.9,0.0,1.1,,2.500,2.0,0.0,0.0,1.0,,,2.500,5.000,8.3,4.7,1.1,-76.0%,6.0,3.0,1.0,-66.7%,4.750,10.000,14.750
(신)이마트 경기광주점,대형마트담당 이마트 하위리그,혼매강남팀,이마트,대형마트,0.2,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,1.9,1.9,0.0,-100.0%,0.750,1.0,1.0,0.0,0.0,-100.0%,,2.500,3.250,1.5,0.0,1.5,,2.500,1.0,0.0,0.0,1.0,,,2.500,5.000,1.8,0.9,1.1,25.0%,1.625,2.0,1.0,0.0,1.0,0.0%,,2.500,4.125,5.3,2.8,2.6,-4.4%,4.0,2.0,2.0,0.0%,5.625,10.000,15.625
(신)이마트 산본점,대형마트담당 이마트 상위리그,혼매강남팀,이마트,대형마트,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,5.4,1.8,0.0,-100.0%,0.750,3.0,1.0,0.0,0.0,-100.0%,,2.500,3.250,1.6,1.6,1.9,22.6%,1.565,1.0,1.0,0.0,1.0,0.0%,,2.500,4.065,1.0,0.0,0.9,,2.500,1.0,0.0,0.0,1.0,,,2.500,5.000,7.9,3.4,2.9,-14.8%,5.0,2.0,2.0,0.0%,5.565,10.000,15.565
(신)이마트 스타필드하남점,대형마트담당 이마트 상위리그,혼매강남팀,이마트,대형마트,0.8,0.0,3.6,,2.500,1.0,0.0,0.0,2.0,,,2.500,5.000,7.1,3.5,5.4,52.5%,2.313,4.0,2.0,0.0,3.0,50.0%,,2.500,4.813,8.4,6.2,1.5,-74.9%,0.750,6.0,4.0,0.0,1.0,-75.0%,,2.500,3.250,3.8,0.0,1.1,,2.500,4.0,0.0,0.0,1.0,,,2.500,5.000,20.0,9.7,11.6,20.0%,15.0,6.0,7.0,16.7%,8.063,10.000,18.063
신 홈플러스 경기하남점,대형마트담당 홈플러스,혼매강남팀,홈플러스,대형마트,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,0.0,,0.0,0.0,0.0,,3.000,10.000,13.000
(신)이마트 E/T안산신길점,대형마트담당 이마트 상위리그,혼매경기팀,이마트,대형마트,0.8,0.8,0.0,-100.0%,0.750,1.0,1.0,0.0,0.0,-100.0%,,2.500,3.250,6.0,1.8,9.7,442.4%,2.500,4.0,1.0,0.0,6.0,500.0%,,2.500,5.000,3.1,1.6,1.7,6.2%,1.154,2.0,1.0,0.0,1.0,0.0%,,2.500,3.654,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,9.9,4.2,11.4,171.0%,7.0,3.0,7.0,133.3%,5.154,10.000,15.154
(신)이마트 고잔점,대형마트담당 이마트 상위리그,혼매경기팀,이마트,대형마트,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,1.8,0.0,5.1,,2.500,1.0,0.0,0.0,3.0,,,2.500,5.000,0.0,0.0,1.5,,2.500,0.0,0.0,0.0,1.0,,,2.500,5.000,0.9,0.0,2.1,,2.500,1.0,0.0,0.0,2.0,,,2.500,5.000,2.7,0.0,8.7,,2.0,0.0,6.0,,8.250,10.000,18.250
(신)이마트 화성봉담점,대형마트담당 이마트 상위리그,혼매경기팀,이마트,대형마트,2.3,0.7,0.0,-100.0%,0.750,3.0,1.0,0.0,0.0,-100.0%,,2.500,3.250,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.8,0.0,1.9,,2.500,1.0,0.0,0.0,1.0,,,2.500,5.000,1.0,0.0,2.0,,2.500,1.0,0.0,0.0,2.0,,,2.500,5.000,4.1,0.7,3.9,489.1%,5.0,1.0,3.0,200.0%,6.500,10.000,16.500
E/T화서점,대형마트담당 이마트 상위리그,혼매경기팀,이마트,대형마트,1.6,0.8,0.0,-100.0%,0.750,2.0,1.0,0.0,0.0,-100.0%,,2.500,3.250,0.0,0.0,1.6,,2.500,0.0,0.0,0.0,1.0,,,2.500,5.000,1.6,3.1,-1.3,-142.7%,0.750,1.0,2.0,0.0,-1.0,-150.0%,,2.500,3.250,0.0,0.0,2.3,,2.500,0.0,0.0,0.0,2.0,,,2.500,5.000,3.2,4.0,2.5,-36.2%,3.0,3.0,2.0,-33.3%,6.500,10.000,16.500
(신)이마트 동탄점,대형마트담당 이마트 상위리그,혼매경기팀,이마트,대형마트,1.5,0.7,0.0,-100.0%,0.750,2.0,1.0,0.0,0.0,-100.0%,,2.500,3.250,5.0,3.2,1.7,-46.1%,0.750,3.0,2.0,0.0,1.0,-50.0%,,2.500,3.250,1.5,1.5,1.5,3.0%,1.075,1.0,1.0,0.0,1.0,0.0%,,2.500,3.575,0.9,0.9,1.0,9.7%,1.242,1.0,1.0,0.0,1.0,0.0%,,2.500,3.742,8.9,6.3,4.3,-32.1%,7.0,5.0,3.0,-40.0%,3.817,10.000,13.817
(신)이마트 오산점,대형마트담당 이마트 하위리그,혼매경기팀,이마트,대형마트,0.8,0.8,0.0,-100.0%,0.750,1.0,1.0,0.0,0.0,-100.0%,,2.500,3.250,1.6,0.0,3.4,,2.500,1.0,0.0,0.0,2.0,,,2.500,5.000,0.0,0.0,1.7,,2.500,0.0,0.0,0.0,1.0,,,2.500,5.000,1.9,0.0,0.0,,0.750,2.0,0.0,0.0,0.0,,,2.500,3.250,4.3,0.8,5.1,505.6%,4.0,1.0,3.0,200.0%,6.500,10.000,16.500
(신)이마트 평택점,대형마트담당 이마트 하위리그,혼매경기팀,이마트,대형마트,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,1.8,0.0,2.3,,2.500,1.0,0.0,0.0,1.0,,,2.500,5.000,0.8,0.8,0.9,11.9%,1.298,1.0,1.0,0.0,1.0,0.0%,,2.500,3.798,0.9,0.9,0.0,-100.0%,0.750,1.0,1.0,0.0,0.0,-100.0%,,2.500,3.250,3.4,1.7,3.2,89.4%,3.0,2.0,2.0,0.0%,5.298,10.000,15.298
일렉트로마트STF안성,대형마트담당 이마트 상위리그,혼매경기팀,이마트,대형마트,1.6,1.7,0.0,-100.0%,0.750,2.0,2.0,0.0,0.0,-100.0%,,2.500,3.250,3.9,0.0,0.0,,0.750,2.0,0.0,0.0,0.0,,,2.500,3.250,1.5,0.0,0.0,,0.750,1.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,7.0,1.7,0.0,-100.0%,5.0,2.0,0.0,-100.0%,3.000,10.000,13.000
신 홈플러스 오산점,대형마트담당 홈플러스,혼매경기팀,홈플러스,대형마트,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,4.1,8.3,1.9,-77.2%,0.750,2.0,2.0,0.0,1.0,-50.0%,,2.500,3.250,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,1.0,0.0,0.9,,2.500,1.0,0.0,0.0,1.0,,,2.500,5.000,5.1,8.3,2.8,-66.1%,3.0,2.0,2.0,0.0%,4.750,10.000,14.750
(신)이마트 E/T수원점,대형마트담당 이마트 상위리그,혼매경기팀,이마트,대형마트,0.8,0.0,0.0,,0.750,1.0,0.0,0.0,0.0,,,2.500,3.250,1.8,0.0,1.9,,2.500,1.0,0.0,0.0,1.0,,,2.500,5.000,1.6,1.6,6.2,292.5%,2.500,1.0,1.0,0.0,4.0,300.0%,,2.500,5.000,0.0,0.0,0.9,,2.500,0.0,0.0,0.0,1.0,,,2.500,5.000,4.2,1.6,9.0,470.6%,3.0,1.0,6.0,500.0%,8.250,10.000,18.250
(신)이마트 수원점,대형마트담당 이마트 상위리그,혼매경기팀,이마트,대형마트,2.1,1.5,0.0,-100.0%,0.750,3.0,2.0,0.0,0.0,-100.0%,,2.500,3.250,1.8,1.8,0.0,-100.0%,0.750,1.0,1.0,0.0,0.0,-100.0%,,2.500,3.250,1.6,1.6,0.0,-100.0%,0.750,1.0,1.0,0.0,0.0,-100.0%,,2.500,3.250,1.9,0.9,1.1,25.0%,1.625,2.0,1.0,0.0,1.0,0.0%,,2.500,4.125,7.4,5.7,1.1,-80.4%,7.0,5.0,1.0,-80.0%,3.875,10.000,13.875
(신)이마트 흥덕점,대형마트담당 이마트 하위리그,혼매경기팀,이마트,대형마트,0.8,0.8,0.0,-100.0%,0.750,1.0,1.0,0.0,0.0,-100.0%,,2.500,3.250,0.0,0.0,2.3,,2.500,0.0,0.0,0.0,1.0,,,2.500,5.000,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.8,0.8,2.3,175.5%,1.0,1.0,1.0,0.0%,4.750,10.000,14.750
E/T동탄점,대형마트담당 이마트 하위리그,혼매경기팀,이마트,대형마트,1.1,1.1,0.0,-100.0%,0.750,1.0,1.0,0.0,0.0,-100.0%,,2.500,3.250,10.7,3.6,1.9,-47.8%,0.750,6.0,2.0,0.0,1.0,-50.0%,,2.500,3.250,1.6,0.0,0.0,,0.750,1.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,4.5,,2.500,0.0,0.0,0.0,4.0,,,2.500,5.000,13.3,4.7,6.4,36.1%,8.0,3.0,5.0,66.7%,4.750,10.000,14.750
신 홈플러스 화성향남점,대형마트담당 홈플러스,혼매경기팀,홈플러스,대형마트,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,1.9,0.0,0.0,,0.750,1.0,0.0,0.0,0.0,,,2.500,3.250,1.5,0.0,0.0,,0.750,1.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,3.4,0.0,0.0,,2.0,0.0,0.0,,3.000,10.000,13.000
(신)이마트 안성점,대형마트담당 이마트 하위리그,혼매경기팀,이마트,대형마트,3.1,2.3,1.8,-23.3%,0.750,4.0,3.0,0.0,1.0,-66.7%,,2.500,3.250,1.3,1.3,0.0,-100.0%,0.750,1.0,1.0,0.0,0.0,-100.0%,,2.500,3.250,1.5,1.5,1.9,27.1%,1.677,1.0,1.0,0.0,1.0,0.0%,,2.500,4.177,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,5.9,5.2,3.7,-28.4%,6.0,5.0,2.0,-60.0%,3.927,10.000,13.927
E/T스타필드안성점,대형마트담당 이마트 상위리그,혼매경기팀,이마트,대형마트,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,26.5,8.8,0.0,-100.0%,0.750,15.0,5.0,0.0,0.0,-100.0%,,2.500,3.250,7.9,0.0,3.2,,2.500,5.0,0.0,0.0,2.0,,,2.500,5.000,29.0,0.0,2.3,,2.500,30.0,0.0,0.0,2.0,,,2.500,5.000,63.4,8.8,5.4,-38.5%,50.0,5.0,4.0,-20.0%,6.500,10.000,16.500
(신)홈플러스 평택안중점,대형마트담당 홈플러스,혼매경기팀,홈플러스,대형마트,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,5.5,,2.500,0.0,0.0,0.0,3.0,,,2.500,5.000,2.9,2.9,1.6,-44.2%,0.750,2.0,2.0,0.0,1.0,-50.0%,,2.500,3.250,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,2.9,2.9,7.2,144.0%,2.0,2.0,4.0,100.0%,4.750,10.000,14.750
신 홈플러스 송탄점,대형마트담당 홈플러스,혼매경기팀,홈플러스,대형마트,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,0.0,,0.0,0.0,0.0,,3.000,10.000,13.000
(신)이마트 E/T구성점,대형마트담당 이마트 상위리그,혼매경기팀,이마트,대형마트,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,1.8,1.8,1.1,-40.8%,0.750,1.0,1.0,0.0,1.0,0.0%,,2.500,3.250,1.5,1.5,0.0,-100.0%,0.750,1.0,1.0,0.0,0.0,-100.0%,,2.500,3.250,0.0,0.0,1.1,,2.500,0.0,0.0,0.0,1.0,,,2.500,5.000,3.3,3.3,2.2,-33.6%,2.0,2.0,2.0,0.0%,4.750,10.000,14.750
(신)이마트 수지점,대형마트담당 이마트 하위리그,혼매경기팀,이마트,대형마트,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,1.6,0.0,0.0,,0.750,1.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,1.6,0.0,0.0,,1.0,0.0,0.0,,3.000,10.000,13.000
(신)이마트 용인점,대형마트담당 이마트 하위리그,혼매경기팀,이마트,대형마트,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,0.0,,0.0,0.0,0.0,,3.000,10.000,13.000
(신)이마트 죽전점,대형마트담당 이마트 상위리그,혼매경기팀,이마트,대형마트,0.8,0.8,1.7,105.6%,2.500,1.0,1.0,0.0,2.0,100.0%,,2.500,5.000,3.7,7.2,0.9,-86.8%,0.750,2.0,4.0,0.0,0.0,-100.0%,,2.500,3.250,6.2,3.0,7.9,161.6%,2.500,4.0,2.0,0.0,5.0,150.0%,,2.500,5.000,3.8,2.8,2.1,-25.4%,0.750,4.0,3.0,0.0,2.0,-33.3%,,2.500,3.250,14.5,13.8,12.7,-8.5%,11.0,10.0,9.0,-10.0%,6.500,10.000,16.500
(신)이마트 광교점,대형마트담당 이마트 하위리그,혼매경기팀,이마트,대형마트,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,1.4,0.0,1.4,-5548.8%,2.500,1.0,0.0,0.0,1.0,,,2.500,5.000,1.6,2.9,0.0,-100.0%,0.750,1.0,2.0,0.0,0.0,-100.0%,,2.500,3.250,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,3.0,2.9,1.4,-52.4%,2.0,2.0,1.0,-50.0%,4.750,10.000,14.750
(신)이마트 동백점,대형마트담당 이마트 하위리그,혼매경기팀,이마트,대형마트,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,1.6,1.6,0.0,-100.0%,0.750,1.0,1.0,0.0,0.0,-100.0%,,2.500,3.250,-0.9,-0.9,0.0,-100.0%,0.750,-1.0,-1.0,0.0,0.0,-100.0%,,2.500,3.250,0.7,0.7,0.0,-100.0%,0.0,0.0,0.0,,3.000,10.000,13.000
(신)이마트 보라점,대형마트담당 이마트 하위리그,혼매경기팀,이마트,대형마트,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.9,0.9,0.0,-100.0%,0.750,1.0,1.0,0.0,0.0,-100.0%,,2.500,3.250,0.9,0.9,0.0,-100.0%,1.0,1.0,0.0,-100.0%,3.000,10.000,13.000
(신)이마트 서수원점,대형마트담당 이마트 하위리그,혼매경기팀,이마트,대형마트,1.1,0.0,0.0,,0.750,1.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.9,0.9,0.0,-100.0%,0.750,1.0,1.0,0.0,0.0,-100.0%,,2.500,3.250,2.0,0.9,0.0,-100.0%,2.0,1.0,0.0,-100.0%,3.000,10.000,13.000
일렉트로마트 STF화서,대형마트담당 이마트 하위리그,혼매경기팀,이마트,대형마트,0.7,0.7,3.8,466.5%,2.500,1.0,1.0,0.0,2.0,100.0%,,2.500,5.000,1.1,1.8,3.2,81.8%,2.500,1.0,1.0,0.0,2.0,100.0%,,2.500,5.000,1.6,1.6,7.1,351.5%,2.500,1.0,1.0,0.0,4.0,300.0%,,2.500,5.000,1.8,1.8,4.2,134.7%,2.500,2.0,2.0,0.0,4.0,100.0%,,2.500,5.000,5.1,5.8,18.3,215.4%,5.0,5.0,12.0,140.0%,10.000,10.000,20.000
신 홈플러스 서수원점,대형마트담당 홈플러스,혼매경기팀,홈플러스,대형마트,0.6,0.6,0.0,-100.0%,0.750,1.0,1.0,0.0,0.0,-100.0%,,2.500,3.250,4.2,2.7,0.0,-100.0%,0.750,3.0,2.0,0.0,0.0,-100.0%,,2.500,3.250,0.0,0.0,1.6,,2.500,0.0,0.0,0.0,1.0,,,2.500,5.000,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,4.8,3.3,1.6,-50.4%,4.0,3.0,1.0,-66.7%,4.750,10.000,14.750
신 홈플러스 경산점,경북대형마트담당 홈플러스,혼매경북팀,홈플러스,대형마트,1.6,1.7,0.0,-100.0%,0.750,2.0,2.0,0.0,0.0,-100.0%,,2.500,3.250,1.9,1.9,0.0,-100.0%,0.750,1.0,1.0,0.0,0.0,-100.0%,,2.500,3.250,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.9,0.9,1.1,28.5%,1.713,1.0,1.0,0.0,1.0,0.0%,,2.500,4.213,4.4,4.4,1.1,-74.6%,4.0,4.0,1.0,-75.0%,3.963,10.000,13.963
신 홈플러스 대구수성점,경북대형마트담당 홈플러스,혼매경북팀,홈플러스,대형마트,0.8,0.8,0.0,-100.0%,0.750,1.0,1.0,0.0,0.0,-100.0%,,2.500,3.250,1.7,1.7,0.0,-100.0%,0.750,1.0,1.0,0.0,0.0,-100.0%,,2.500,3.250,3.4,0.0,0.0,,0.750,2.0,0.0,0.0,0.0,,,2.500,3.250,1.9,1.3,1.1,-11.5%,0.750,2.0,2.0,0.0,1.0,-50.0%,,2.500,3.250,7.8,3.9,1.1,-70.8%,6.0,4.0,1.0,-75.0%,3.000,10.000,13.000
신 홈플러스 상인점,경북대형마트담당 홈플러스,혼매경북팀,홈플러스,대형마트,0.6,0.6,1.8,189.1%,2.500,1.0,1.0,0.0,1.0,0.0%,,2.500,5.000,5.7,3.8,0.0,-100.0%,0.750,3.0,2.0,0.0,0.0,-100.0%,,2.500,3.250,1.5,1.5,0.0,-100.0%,0.750,1.0,1.0,0.0,0.0,-100.0%,,2.500,3.250,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,7.8,5.9,1.8,-69.5%,5.0,4.0,1.0,-75.0%,4.750,10.000,14.750
신 홈플러스 죽도점,경북대형마트담당 홈플러스,혼매경북팀,홈플러스,대형마트,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,0.9,,2.500,0.0,0.0,0.0,1.0,,,2.500,5.000,0.0,0.0,0.9,,0.0,0.0,1.0,,4.750,10.000,14.750
신 홈플러스 포항점,경북대형마트담당 홈플러스,혼매경북팀,홈플러스,대형마트,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,1.2,,2.500,0.0,0.0,0.0,1.0,,,2.500,5.000,0.0,0.0,1.2,,0.0,0.0,1.0,,4.750,10.000,14.750
(신)이마트 김천점,경북대형마트담당 이마트,혼매경북팀,이마트,대형마트,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,3.0,0.0,0.0,,0.750,2.0,0.0,0.0,0.0,,,2.500,3.250,1.5,1.5,1.7,10.3%,1.258,1.0,1.0,0.0,1.0,0.0%,,2.500,3.758,0.9,0.9,1.1,25.0%,1.625,1.0,1.0,0.0,1.0,0.0%,,2.500,4.125,5.4,2.4,2.8,15.8%,4.0,2.0,2.0,0.0%,4.383,10.000,14.383
(신)이마트 동구미점,경북대형마트담당 이마트,혼매경북팀,이마트,대형마트,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,1.8,0.0,0.0,,0.750,1.0,0.0,0.0,0.0,,,2.500,3.250,1.3,1.3,1.5,19.5%,1.488,1.0,1.0,0.0,1.0,0.0%,,2.500,3.988,2.7,1.8,2.1,17.4%,1.434,3.0,2.0,0.0,2.0,0.0%,,2.500,3.934,5.8,3.1,3.7,18.3%,5.0,3.0,3.0,0.0%,4.422,10.000,14.422
(신)이마트 상주점,경북대형마트담당 이마트,혼매경북팀,이마트,대형마트,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,1.4,,2.500,0.0,0.0,0.0,1.0,,,2.500,5.000,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,1.4,,0.0,0.0,1.0,,4.750,10.000,14.750
(신)이마트 성서점,경북대형마트담당 이마트,혼매경북팀,이마트,대형마트,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,5.0,,2.500,0.0,0.0,0.0,3.0,,,2.500,5.000,0.0,0.0,0.0,,0.750,0.0,0.0,0.0,0.0,,,2.500,3.250,0.0,0.0,1.0,,2.500,0.0,0.0,0.0,1.0,,,2.500,5.000,0.0,0.0,6.0,,0.0,0.0,4.0,,6.500,10.000,16.500
