지점,평가그룹,영업팀,채널,유통,로봇청소기Gross 전년마감총판,로봇청소기Gross 전년동기총판,로봇청소기Gross 당월총판,로봇청소기Gross 전년동기比,로봇청소기수량 전년마감총판,로봇청소기수량 전년동기총판,로봇청소기수량 목표,로봇청소기수량 당월총판,로봇청소기수량 전년동기比,로봇청소기수량 목표比,스타일러Gross 전년마감총판,스타일러Gross 전년동기총판,스타일러Gross 당월총판,스타일러Gross 전년동기比,스타일러수량 전년마감총판,스타일러수량 전년동기총판,스타일러수량 목표,스타일러수량 당월총판,스타일러수량 전년동기比,스타일러수량 목표比,식기세척기Gross 전년마감총판,식기세척기Gross 전년동기총판,식기세척기Gross 당월총판,식기세척기Gross 전년동기比,식기세척기수량 전년마감총판,식기세척기수량 전년동기총판,식기세척기수량 목표,식기세척기수량 당월총판,식기세척기수량 전년동기比,식기세척기수량 목표比,스탠바이미Gross 전년마감총판,스탠바이미Gross 전년동기총판,스탠바이미Gross 당월총판,스탠바이미Gross 전년동기比,스탠바이미수량 전년마감총판,스탠바이미수량 전년동기총판,스탠바이미수량 목표,스탠바이미수량 당월총판,스탠바이미수량 전년동기比,스탠바이미수량 목표比
일렉트로마트 STF화서,대형마트담당 이마트 하위리그,혼매경기팀,이마트,대형마트,0.7,0.7,0.0,-99.9%,1.0,1.0,0.0,0.0,-100.0%,#DIV/0!,1.1,1.8,3.2,81.8%,1.0,1.0,0.0,2.0,100.0%,#DIV/0!,1.6,1.6,9.0,474.1%,1.0,1.0,0.0,5.0,400.0%,#DIV/0!,1.8,1.8,4.2,134.7%,2.0,2.0,0.0,4.0,100.0%,#DIV/0!
신 홈플러스 서수원점,대형마트담당 홈플러스,혼매경기팀,홈플러스,대형마트,0.6,0.6,0.0,-100.0%,1.0,1.0,0.0,0.0,-100.0%,#DIV/0!,4.2,2.7,0.0,-100.0%,3.0,2.0,0.0,0.0,-100.0%,#DIV/0!,0.0,0.0,1.6,#DIV/0!,0.0,0.0,0.0,1.0,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!
신 홈플러스 경산점,경북대형마트담당 홈플러스,혼매경북팀,홈플러스,대형마트,1.6,1.7,0.0,-100.0%,2.0,2.0,0.0,0.0,-100.0%,#DIV/0!,1.9,1.9,0.0,-100.0%,1.0,1.0,0.0,0.0,-100.0%,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.9,0.9,1.1,28.5%,1.0,1.0,0.0,1.0,0.0%,#DIV/0!
신 홈플러스 대구수성점,경북대형마트담당 홈플러스,혼매경북팀,홈플러스,대형마트,0.8,0.8,0.0,-100.0%,1.0,1.0,0.0,0.0,-100.0%,#DIV/0!,1.7,1.7,0.0,-100.0%,0.0,1.0,0.0,0.0,-100.0%,#DIV/0!,3.4,1.9,0.0,-100.0%,2.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,1.9,1.3,1.1,-11.5%,2.0,1.0,0.0,1.0,0.0%,#DIV/0!
신 홈플러스 상인점,경북대형마트담당 홈플러스,혼매경북팀,홈플러스,대형마트,0.6,0.6,0.0,-100.0%,1.0,1.0,0.0,0.0,-100.0%,#DIV/0!,5.7,3.8,0.0,-100.0%,3.0,2.0,0.0,0.0,-100.0%,#DIV/0!,1.5,1.5,0.0,-100.0%,1.0,1.0,0.0,0.0,-100.0%,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!
신 홈플러스 죽도점,경북대형마트담당 홈플러스,혼매경북팀,홈플러스,대형마트,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,1.0,0.4,0.9,132.1%,1.0,0.0,0.0,1.0,#DIV/0!,#DIV/0!
신 홈플러스 포항점,경북대형마트담당 홈플러스,혼매경북팀,홈플러스,대형마트,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,1.2,#DIV/0!,0.0,0.0,0.0,1.0,#DIV/0!,#DIV/0!
(신)이마트 김천점,경북대형마트담당 이마트,혼매경북팀,이마트,대형마트,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,3.0,0.0,0.0,#DIV/0!,2.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,1.5,1.5,1.7,10.3%,1.0,1.0,0.0,1.0,0.0%,#DIV/0!,0.9,0.9,1.1,25.0%,1.0,1.0,0.0,1.0,0.0%,#DIV/0!
(신)이마트 동구미점,경북대형마트담당 이마트,혼매경북팀,이마트,대형마트,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,1.8,0.0,0.0,#DIV/0!,1.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,1.3,1.3,1.5,19.5%,1.0,1.0,0.0,1.0,0.0%,#DIV/0!,2.7,1.8,1.0,-45.2%,3.0,2.0,0.0,1.0,-50.0%,#DIV/0!
(신)이마트 상주점,경북대형마트담당 이마트,혼매경북팀,이마트,대형마트,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,1.4,#DIV/0!,0.0,0.0,0.0,1.0,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,1.1,#DIV/0!,0.0,0.0,0.0,1.0,#DIV/0!,#DIV/0!
(신)이마트 성서점,경북대형마트담당 이마트,혼매경북팀,이마트,대형마트,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,2.7,#DIV/0!,0.0,0.0,0.0,2.0,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,1.0,#DIV/0!,0.0,0.0,0.0,1.0,#DIV/0!,#DIV/0!
(신)이마트 E/T비산점,경북대형마트담당 이마트,혼매경북팀,이마트,대형마트,0.8,0.0,1.8,#DIV/0!,1.0,0.0,0.0,1.0,#DIV/0!,#DIV/0!,5.4,1.8,1.9,3.4%,3.0,1.0,0.0,1.0,0.0%,#DIV/0!,0.7,0.0,3.2,#DIV/0!,2.0,0.0,0.0,2.0,#DIV/0!,#DIV/0!,0.0,0.0,1.1,#DIV/0!,0.0,0.0,0.0,1.0,#DIV/0!,#DIV/0!
(신)이마트 만촌점,경북대형마트담당 이마트,혼매경북팀,이마트,대형마트,1.4,1.4,0.0,-100.0%,2.0,2.0,0.0,0.0,-100.0%,#DIV/0!,7.1,5.3,6.7,25.1%,4.0,3.0,0.0,4.0,33.3%,#DIV/0!,4.9,4.9,2.9,-39.3%,3.0,3.0,0.0,2.0,-33.3%,#DIV/0!,1.8,0.9,1.0,9.7%,2.0,1.0,0.0,1.0,0.0%,#DIV/0!
(신)이마트 반야월점,경북대형마트담당 이마트,혼매경북팀,이마트,대형마트,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,1.6,1.6,0.0,-100.0%,1.0,1.0,0.0,0.0,-100.0%,#DIV/0!,0.0,0.0,1.5,#DIV/0!,0.0,0.0,0.0,1.0,#DIV/0!,#DIV/0!,0.0,0.0,4.5,#DIV/0!,0.0,0.0,0.0,4.0,#DIV/0!,#DIV/0!
(신)이마트 영천점,경북대형마트담당 이마트,혼매경북팀,이마트,대형마트,0.0,0.0,0.9,#DIV/0!,0.0,0.0,0.0,1.0,#DIV/0!,#DIV/0!,1.8,0.0,1.9,#DIV/0!,1.0,0.0,0.0,1.0,#DIV/0!,#DIV/0!,0.0,0.0,1.5,#DIV/0!,0.0,0.0,0.0,1.0,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!
(신)이마트 포항점,경북대형마트담당 이마트,혼매경북팀,이마트,대형마트,0.8,0.8,0.0,-100.0%,1.0,1.0,0.0,0.0,-100.0%,#DIV/0!,3.1,1.6,0.0,-100.0%,2.0,1.0,0.0,0.0,-100.0%,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.9,0.0,2.2,#DIV/0!,1.0,0.0,0.0,2.0,#DIV/0!,#DIV/0!
(신)이마트 경산점,경북대형마트담당 이마트,혼매경북팀,이마트,대형마트,0.0,0.0,1.8,#DIV/0!,0.0,0.0,0.0,1.0,#DIV/0!,#DIV/0!,2.9,0.0,1.7,#DIV/0!,2.0,0.0,0.0,1.0,#DIV/0!,#DIV/0!,0.0,0.0,1.9,#DIV/0!,0.0,0.0,0.0,1.0,#DIV/0!,#DIV/0!,1.0,0.0,1.1,#DIV/0!,1.0,0.0,0.0,1.0,#DIV/0!,#DIV/0!
(신)이마트 월배점,경북대형마트담당 이마트,혼매경북팀,이마트,대형마트,0.0,0.0,1.8,#DIV/0!,0.0,0.0,0.0,1.0,#DIV/0!,#DIV/0!,0.0,0.0,5.1,#DIV/0!,0.0,0.0,0.0,3.0,#DIV/0!,#DIV/0!,0.7,0.7,0.0,-100.0%,1.0,1.0,0.0,0.0,-100.0%,#DIV/0!,4.5,0.9,2.3,150.0%,5.0,1.0,0.0,2.0,100.0%,#DIV/0!
(신)이마트 이동점,경북대형마트담당 이마트,혼매경북팀,이마트,대형마트,-0.8,0.0,0.0,#DIV/0!,-1.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.3,1.8,5.1,188.9%,0.0,1.0,0.0,3.0,200.0%,#DIV/0!,-0.3,1.3,0.0,-100.0%,0.0,1.0,0.0,0.0,-100.0%,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!
(신)이마트 칠성점,경북대형마트담당 이마트,혼매경북팀,이마트,대형마트,0.0,0.0,1.8,#DIV/0!,0.0,0.0,0.0,1.0,#DIV/0!,#DIV/0!,5.3,1.8,0.0,-100.0%,3.0,1.0,0.0,0.0,-100.0%,#DIV/0!,3.1,2.4,1.9,-21.6%,3.0,2.0,0.0,1.0,-50.0%,#DIV/0!,0.9,0.0,1.0,#DIV/0!,1.0,0.0,0.0,1.0,#DIV/0!,#DIV/0!
(신)이마트 구미점,경북대형마트담당 이마트,혼매경북팀,이마트,대형마트,0.8,0.0,0.0,#DIV/0!,1.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,1.8,1.8,1.6,-7.5%,1.0,1.0,0.0,1.0,0.0%,#DIV/0!,0.0,1.5,1.5,0.2%,0.0,1.0,0.0,1.0,0.0%,#DIV/0!,2.8,1.8,0.0,-100.0%,3.0,2.0,0.0,0.0,-100.0%,#DIV/0!
신 홈플러스 문경점,경북대형마트담당 홈플러스,혼매경북팀,홈플러스,대형마트,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!
신 홈플러스 안동점,경북대형마트담당 홈플러스,혼매경북팀,홈플러스,대형마트,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,5.1,5.1,0.0,-100.0%,3.0,3.0,0.0,0.0,-100.0%,#DIV/0!,2.9,2.9,0.0,-100.0%,2.0,2.0,0.0,0.0,-100.0%,#DIV/0!,0.0,0.0,-0.2,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!
신 홈플러스 영주점,경북대형마트담당 홈플러스,혼매경북팀,홈플러스,대형마트,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,1.7,1.7,0.0,-100.0%,1.0,1.0,0.0,0.0,-100.0%,#DIV/0!,0.7,0.7,1.9,178.2%,1.0,1.0,0.0,1.0,0.0%,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!
전자랜드 안양비산점,강남양판담당 전자랜드,혼매강남팀,전자랜드,양판,-0.8,0.8,4.4,456.7%,-1.0,1.0,0.0,3.0,200.0%,#DIV/0!,3.9,2.6,0.0,-100.0%,2.0,1.0,0.0,0.0,-100.0%,#DIV/0!,3.1,3.8,1.9,-50.3%,2.0,1.0,0.0,1.0,0.0%,#DIV/0!,-1.7,0.0,0.0,#DIV/0!,-2.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!
전자랜드 가든파이브점,강남양판담당 전자랜드,혼매강남팀,전자랜드,양판,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,1.0,0.0,1.9,#DIV/0!,1.0,0.0,0.0,1.0,#DIV/0!,#DIV/0!,0.8,0.8,1.1,33.8%,1.0,1.0,0.0,1.0,0.0%,#DIV/0!
전자랜드 경기광주점,강남양판담당 전자랜드,혼매강남팀,전자랜드,양판,4.9,2.5,0.8,-68.0%,10.0,5.0,0.0,1.0,-80.0%,#DIV/0!,-1.8,-1.8,1.8,-204.1%,-1.0,-1.0,0.0,1.0,-200.0%,#DIV/0!,11.3,6.4,0.0,-100.0%,11.0,6.0,0.0,0.0,-100.0%,#DIV/0!,9.3,5.1,2.8,-45.5%,11.0,6.0,0.0,3.0,-50.0%,#DIV/0!
전자랜드 오산점,경기양판담당 전자랜드,혼매경기팀,전자랜드,양판,0.0,0.0,1.8,#DIV/0!,0.0,0.0,0.0,1.0,#DIV/0!,#DIV/0!,4.4,3.3,10.1,208.4%,3.0,2.0,0.0,5.0,150.0%,#DIV/0!,1.0,1.0,2.0,107.4%,1.0,1.0,0.0,2.0,100.0%,#DIV/0!,1.7,1.7,1.9,13.6%,2.0,2.0,0.0,2.0,0.0%,#DIV/0!
전자랜드 평택본점,경기양판담당 전자랜드,혼매경기팀,전자랜드,양판,1.1,0.7,0.0,-100.0%,1.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,-0.7,-0.6,0.0,-100.0%,-1.0,-1.0,0.0,0.0,-100.0%,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!
전자랜드 발안점,경기양판담당 전자랜드,혼매경기팀,전자랜드,양판,0.3,-0.1,0.0,-100.0%,0.0,-1.0,0.0,0.0,-100.0%,#DIV/0!,1.8,1.8,0.0,-100.0%,1.0,1.0,0.0,0.0,-100.0%,#DIV/0!,-1.5,-1.5,0.0,-100.0%,-1.0,-1.0,0.0,0.0,-100.0%,#DIV/0!,0.0,0.0,1.0,#DIV/0!,0.0,0.0,0.0,1.0,#DIV/0!,#DIV/0!
전자랜드 경산점,경북양판담당 전자랜드,혼매경북팀,전자랜드,양판,2.2,0.7,0.0,-100.0%,2.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,1.8,1.8,0.0,-100.0%,1.0,1.0,0.0,0.0,-100.0%,#DIV/0!,4.4,5.4,1.3,-76.6%,3.0,3.0,0.0,1.0,-66.7%,#DIV/0!,0.0,0.0,1.0,#DIV/0!,0.0,0.0,0.0,1.0,#DIV/0!,#DIV/0!
전자랜드 안동점_가전,경북양판담당 전자랜드,혼매경북팀,전자랜드,양판,3.4,3.4,0.0,-100.0%,4.0,3.0,0.0,0.0,-100.0%,#DIV/0!,3.3,3.3,5.4,64.5%,2.0,2.0,0.0,3.0,50.0%,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,1.7,1.7,2.8,63.6%,2.0,2.0,0.0,3.0,50.0%,#DIV/0!
전자랜드 우현점_가전,경북양판담당 전자랜드,혼매경북팀,전자랜드,양판,1.7,2.0,1.8,-11.5%,2.0,2.0,0.0,1.0,-50.0%,#DIV/0!,0.0,0.0,3.3,#DIV/0!,0.0,0.0,0.0,2.0,#DIV/0!,#DIV/0!,0.6,1.5,2.2,43.9%,1.0,1.0,0.0,1.0,0.0%,#DIV/0!,0.8,1.7,1.9,13.6%,1.0,2.0,0.0,2.0,0.0%,#DIV/0!
전자랜드 현대시티아울렛 대구점,경북양판담당 전자랜드,혼매경북팀,전자랜드,양판,0.0,0.0,3.8,#DIV/0!,0.0,0.0,0.0,2.0,#DIV/0!,#DIV/0!,3.5,3.5,3.3,-6.1%,2.0,2.0,0.0,2.0,0.0%,#DIV/0!,0.0,0.0,1.9,#DIV/0!,0.0,0.0,0.0,1.0,#DIV/0!,#DIV/0!,0.8,0.8,4.9,481.3%,1.0,1.0,0.0,5.0,400.0%,#DIV/0!
전자랜드 광평점_가전,경북양판담당 전자랜드,혼매경북팀,전자랜드,양판,1.9,0.8,0.0,-100.0%,2.0,1.0,0.0,0.0,-100.0%,#DIV/0!,5.3,5.3,1.7,-68.7%,3.0,3.0,0.0,1.0,-66.7%,#DIV/0!,4.6,4.6,5.0,10.0%,3.0,3.0,0.0,3.0,0.0%,#DIV/0!,2.5,2.5,4.8,89.3%,3.0,3.0,0.0,5.0,66.7%,#DIV/0!
전자랜드 김천점,경북양판담당 전자랜드,혼매경북팀,전자랜드,양판,0.0,0.0,0.6,#DIV/0!,0.0,0.0,0.0,1.0,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,0.9,#DIV/0!,0.0,0.0,0.0,1.0,#DIV/0!,#DIV/0!
전자랜드 오광장점_가전,경북양판담당 전자랜드,혼매경북팀,전자랜드,양판,-1.1,0.0,3.4,#DIV/0!,-1.0,0.0,0.0,3.0,#DIV/0!,#DIV/0!,4.9,6.9,1.5,-78.4%,3.0,4.0,0.0,1.0,-75.0%,#DIV/0!,14.0,9.0,3.5,-61.8%,9.0,6.0,0.0,2.0,-66.7%,#DIV/0!,8.4,5.9,2.9,-51.3%,10.0,7.0,0.0,3.0,-57.1%,#DIV/0!
전자랜드 죽전점_가전,경북양판담당 전자랜드,혼매경북팀,전자랜드,양판,1.1,0.0,1.6,#DIV/0!,1.0,0.0,0.0,2.0,#DIV/0!,#DIV/0!,3.5,3.5,3.5,1.0%,2.0,2.0,0.0,2.0,0.0%,#DIV/0!,4.1,3.5,1.6,-55.3%,3.0,2.0,0.0,1.0,-50.0%,#DIV/0!,3.4,3.4,3.8,12.0%,4.0,4.0,0.0,4.0,0.0%,#DIV/0!
(신)이마트 E/T천안아산점,충청담당 이마트,혼매충청팀(A),이마트,대형마트,2.4,1.7,0.0,-100.0%,3.0,2.0,0.0,0.0,-100.0%,#DIV/0!,5.4,1.9,0.0,-100.0%,3.0,1.0,0.0,0.0,-100.0%,#DIV/0!,4.8,4.8,0.0,-100.0%,3.0,3.0,0.0,0.0,-100.0%,#DIV/0!,0.0,0.0,2.3,#DIV/0!,0.0,0.0,0.0,2.0,#DIV/0!,#DIV/0!
(신)이마트 아산점,충청담당 이마트,혼매충청팀(A),이마트,대형마트,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!
(신)이마트 천안점,충청담당 이마트,혼매충청팀(A),이마트,대형마트,0.8,0.8,0.0,-100.0%,1.0,1.0,0.0,0.0,-100.0%,#DIV/0!,3.6,1.9,3.9,112.4%,2.0,1.0,0.0,2.0,100.0%,#DIV/0!,1.5,1.5,5.2,248.6%,1.0,1.0,0.0,3.0,200.0%,#DIV/0!,2.9,0.9,0.0,-100.0%,3.0,1.0,0.0,0.0,-100.0%,#DIV/0!
신 홈플러스 청주성안점,충청담당 홈플러스,혼매충청팀(A),홈플러스,대형마트,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!
(신)이마트 천안서북점,충청담당 이마트,혼매충청팀(A),이마트,대형마트,1.6,0.8,0.0,-100.0%,2.0,1.0,0.0,0.0,-100.0%,#DIV/0!,1.6,1.6,1.7,8.2%,1.0,1.0,0.0,1.0,0.0%,#DIV/0!,1.6,1.6,0.0,-100.0%,1.0,1.0,0.0,0.0,-100.0%,#DIV/0!,5.4,4.5,1.0,-78.1%,6.0,5.0,0.0,1.0,-80.0%,#DIV/0!
(신)이마트 천안터미널점,충청담당 이마트,혼매충청팀(A),이마트,대형마트,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,0.8,#DIV/0!,0.0,0.0,0.0,1.0,#DIV/0!,#DIV/0!
신 홈플러스 동청주점,충청담당 홈플러스,혼매충청팀(A),홈플러스,대형마트,0.8,0.8,0.8,-0.6%,1.0,1.0,0.0,1.0,0.0%,#DIV/0!,3.6,1.9,6.5,242.7%,2.0,1.0,0.0,4.0,300.0%,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,0.9,#DIV/0!,0.0,0.0,0.0,1.0,#DIV/0!,#DIV/0!
(신)이마트 서산점,충청담당 이마트,혼매충청팀(A),이마트,대형마트,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,3.3,0.0,0.0,#DIV/0!,2.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.9,0.9,1.0,9.7%,1.0,1.0,0.0,1.0,0.0%,#DIV/0!
(신)이마트 청주점,충청담당 이마트,혼매충청팀(A),이마트,대형마트,1.6,1.7,0.9,-48.6%,2.0,2.0,0.0,1.0,-50.0%,#DIV/0!,5.2,0.0,0.0,#DIV/0!,3.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,1.4,0.0,0.0,#DIV/0!,1.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.9,0.0,0.0,#DIV/0!,1.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!
(신)이마트 충주점,충청담당 이마트,혼매충청팀(A),이마트,대형마트,0.8,0.0,0.0,#DIV/0!,1.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,3.7,0.0,-1.9,#DIV/0!,2.0,0.0,0.0,-1.0,#DIV/0!,#DIV/0!,1.6,1.6,1.9,21.7%,1.0,1.0,0.0,1.0,0.0%,#DIV/0!,1.8,1.8,0.0,-100.0%,2.0,2.0,0.0,0.0,-100.0%,#DIV/0!
신 홈플러스 천안점,충청담당 홈플러스,혼매충청팀(A),홈플러스,대형마트,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,1.7,0.0,0.0,-100.0%,1.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,1.6,#DIV/0!,0.0,0.0,0.0,1.0,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!
(신)이마트 보령점,충청담당 이마트,혼매충청팀(A),이마트,대형마트,0.8,0.8,0.0,-100.0%,1.0,1.0,0.0,0.0,-100.0%,#DIV/0!,1.6,1.6,0.0,-100.0%,1.0,1.0,0.0,0.0,-100.0%,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!
신 홈플러스 논산점,충청담당 홈플러스,혼매충청팀(A),홈플러스,대형마트,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,1.9,#DIV/0!,0.0,0.0,0.0,1.0,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!
신 홈플러스 보령점,충청담당 홈플러스,혼매충청팀(A),홈플러스,대형마트,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!
신 홈플러스 오창점,충청담당 홈플러스,혼매충청팀(A),홈플러스,대형마트,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,3.7,#DIV/0!,0.0,0.0,0.0,2.0,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!
전자랜드 분평점_가전,충청담당 전자랜드,혼매충청팀(A),전자랜드,양판,4.4,1.3,1.2,-9.7%,4.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,3.5,1.8,6.5,267.2%,2.0,1.0,0.0,4.0,300.0%,#DIV/0!,2.5,1.0,-1.5,-254.8%,2.0,1.0,0.0,-1.0,-200.0%,#DIV/0!,1.7,0.8,1.9,127.2%,2.0,1.0,0.0,2.0,100.0%,#DIV/0!
전자랜드 쌍용점_가전,충청담당 전자랜드,혼매충청팀(A),전자랜드,양판,1.1,0.7,2.6,291.8%,1.0,0.0,0.0,2.0,#DIV/0!,#DIV/0!,5.0,1.9,5.8,214.3%,3.0,1.0,0.0,3.0,200.0%,#DIV/0!,3.1,1.6,3.8,144.5%,2.0,1.0,0.0,2.0,100.0%,#DIV/0!,0.8,0.8,1.0,13.6%,1.0,1.0,0.0,1.0,0.0%,#DIV/0!
