지점,평가그룹,영업팀,채널,유통,로봇청소기Gross 전년마감총판,로봇청소기Gross 전년동기총판,로봇청소기Gross 당월총판,로봇청소기Gross 전년동기比,로봇청소기수량 전년마감총판,로봇청소기수량 전년동기총판,로봇청소기수량 목표,로봇청소기수량 당월총판,로봇청소기수량 전년동기比,로봇청소기수량 목표比,스타일러Gross 전년마감총판,스타일러Gross 전년동기총판,스타일러Gross 당월총판,스타일러Gross 전년동기比,스타일러수량 전년마감총판,스타일러수량 전년동기총판,스타일러수량 목표,스타일러수량 당월총판,스타일러수량 전년동기比,스타일러수량 목표比,식기세척기Gross 전년마감총판,식기세척기Gross 전년동기총판,식기세척기Gross 당월총판,식기세척기Gross 전년동기比,식기세척기수량 전년마감총판,식기세척기수량 전년동기총판,식기세척기수량 목표,식기세척기수량 당월총판,식기세척기수량 전년동기比,식기세척기수량 목표比,스탠바이미Gross 전년마감총판,스탠바이미Gross 전년동기총판,스탠바이미Gross 당월총판,스탠바이미Gross 전년동기比,스탠바이미수량 전년마감총판,스탠바이미수량 전년동기총판,스탠바이미수량 목표,스탠바이미수량 당월총판,스탠바이미수량 전년동기比,스탠바이미수량 목표比
(신)이마트 천호점,대형마트담당 이마트 하위리그,혼매강남팀,이마트,대형마트,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,5.0,5.0,0.0,-100.0%,3.0,3.0,0.0,0.0,-100.0%,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.9,0.9,0.0,-100.0%,1.0,1.0,0.0,0.0,-100.0%,#DIV/0!
(신)이마트 평촌점,대형마트담당 이마트 상위리그,혼매강남팀,이마트,대형마트,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,2.3,#DIV/0!,0.0,0.0,0.0,1.0,#DIV/0!,#DIV/0!,1.6,1.6,0.0,-100.0%,1.0,1.0,0.0,0.0,-100.0%,#DIV/0!,0.9,0.0,-0.1,#DIV/0!,1.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!
이마트 E/T군포점,대형마트담당 이마트 상위리그,혼매강남팀,이마트,대형마트,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,5.4,1.8,1.9,4.4%,3.0,1.0,0.0,1.0,0.0%,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,2.0,0.0,0.9,#DIV/0!,2.0,0.0,0.0,1.0,#DIV/0!,#DIV/0!
신 홈플러스 서울남현점,대형마트담당 홈플러스,혼매강남팀,홈플러스,대형마트,1.6,1.7,0.0,-100.0%,2.0,2.0,0.0,0.0,-100.0%,#DIV/0!,3.8,3.8,0.0,-100.0%,3.0,3.0,0.0,0.0,-100.0%,#DIV/0!,3.1,3.1,1.6,-48.0%,2.0,2.0,0.0,1.0,-50.0%,#DIV/0!,1.9,1.9,0.0,-100.0%,2.0,2.0,0.0,0.0,-100.0%,#DIV/0!
신 홈플러스 평촌점,대형마트담당 홈플러스,혼매강남팀,홈플러스,대형마트,1.6,1.7,0.0,-100.0%,2.0,2.0,0.0,0.0,-100.0%,#DIV/0!,7.3,5.5,3.7,-32.8%,4.0,3.0,0.0,2.0,-33.3%,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,1.0,#DIV/0!,#DIV/0!,2.7,1.8,1.0,-43.4%,3.0,2.0,0.0,1.0,-50.0%,#DIV/0!
(신)이마트 가든5점,대형마트담당 이마트 하위리그,혼매강남팀,이마트,대형마트,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,3.5,1.8,0.0,-100.0%,2.0,1.0,0.0,0.0,-100.0%,#DIV/0!,2.9,2.9,1.9,-35.4%,2.0,2.0,0.0,1.0,-50.0%,#DIV/0!,1.9,0.0,2.3,#DIV/0!,2.0,0.0,0.0,2.0,#DIV/0!,#DIV/0!
(신)이마트 경기광주점,대형마트담당 이마트 하위리그,혼매강남팀,이마트,대형마트,0.2,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,1.9,1.9,2.3,24.3%,1.0,1.0,0.0,1.0,0.0%,#DIV/0!,1.5,0.0,1.5,#DIV/0!,1.0,0.0,0.0,1.0,#DIV/0!,#DIV/0!,1.8,0.9,1.1,25.0%,2.0,1.0,0.0,1.0,0.0%,#DIV/0!
(신)이마트 산본점,대형마트담당 이마트 상위리그,혼매강남팀,이마트,대형마트,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,5.4,1.8,0.0,-100.0%,3.0,1.0,0.0,0.0,-100.0%,#DIV/0!,1.6,1.6,0.0,-100.0%,1.0,1.0,0.0,0.0,-100.0%,#DIV/0!,1.0,0.0,0.9,#DIV/0!,1.0,0.0,0.0,1.0,#DIV/0!,#DIV/0!
(신)이마트 스타필드하남점,대형마트담당 이마트 상위리그,혼매강남팀,이마트,대형마트,0.8,0.0,-2.0,#DIV/0!,1.0,0.0,0.0,-1.0,#DIV/0!,#DIV/0!,7.1,3.5,5.4,52.5%,4.0,2.0,0.0,3.0,50.0%,#DIV/0!,8.4,6.2,3.5,-43.8%,6.0,4.0,0.0,2.0,-50.0%,#DIV/0!,4.8,0.0,3.4,#DIV/0!,5.0,0.0,0.0,3.0,#DIV/0!,#DIV/0!
신 홈플러스 경기하남점,대형마트담당 홈플러스,혼매강남팀,홈플러스,대형마트,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!
(신)이마트 E/T안산신길점,대형마트담당 이마트 상위리그,혼매경기팀,이마트,대형마트,0.8,0.8,0.0,-100.0%,1.0,1.0,0.0,0.0,-100.0%,#DIV/0!,6.0,1.8,9.7,442.4%,4.0,1.0,0.0,6.0,500.0%,#DIV/0!,3.1,1.6,1.7,6.2%,2.0,1.0,0.0,1.0,0.0%,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!
(신)이마트 고잔점,대형마트담당 이마트 상위리그,혼매경기팀,이마트,대형마트,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,1.8,0.0,5.1,#DIV/0!,1.0,0.0,0.0,3.0,#DIV/0!,#DIV/0!,0.0,0.0,4.7,#DIV/0!,0.0,0.0,0.0,3.0,#DIV/0!,#DIV/0!,0.9,0.0,2.1,#DIV/0!,1.0,0.0,0.0,2.0,#DIV/0!,#DIV/0!
(신)이마트 화성봉담점,대형마트담당 이마트 상위리그,혼매경기팀,이마트,대형마트,2.3,0.7,0.0,-100.0%,3.0,1.0,0.0,0.0,-100.0%,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.8,0.0,0.0,#DIV/0!,2.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,1.0,0.0,2.0,#DIV/0!,1.0,0.0,0.0,2.0,#DIV/0!,#DIV/0!
E/T화서점,대형마트담당 이마트 상위리그,혼매경기팀,이마트,대형마트,1.6,0.8,0.0,-100.0%,2.0,1.0,0.0,0.0,-100.0%,#DIV/0!,0.0,0.0,1.6,#DIV/0!,0.0,0.0,0.0,1.0,#DIV/0!,#DIV/0!,1.6,3.1,-1.3,-142.7%,1.0,2.0,0.0,-1.0,-150.0%,#DIV/0!,0.0,0.0,1.1,#DIV/0!,0.0,0.0,0.0,1.0,#DIV/0!,#DIV/0!
(신)이마트 동탄점,대형마트담당 이마트 상위리그,혼매경기팀,이마트,대형마트,1.5,0.7,0.0,-100.0%,2.0,1.0,0.0,0.0,-100.0%,#DIV/0!,5.0,3.2,1.7,-46.1%,3.0,2.0,0.0,1.0,-50.0%,#DIV/0!,1.5,1.5,1.5,3.0%,1.0,1.0,0.0,1.0,0.0%,#DIV/0!,0.9,0.9,1.0,9.7%,1.0,1.0,0.0,1.0,0.0%,#DIV/0!
(신)이마트 오산점,대형마트담당 이마트 하위리그,혼매경기팀,이마트,대형마트,0.8,0.8,0.0,-100.0%,1.0,1.0,0.0,0.0,-100.0%,#DIV/0!,1.6,0.0,3.4,#DIV/0!,1.0,0.0,0.0,2.0,#DIV/0!,#DIV/0!,0.0,0.0,3.6,#DIV/0!,0.0,0.0,0.0,2.0,#DIV/0!,#DIV/0!,1.9,0.0,0.0,#DIV/0!,2.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!
(신)이마트 평택점,대형마트담당 이마트 하위리그,혼매경기팀,이마트,대형마트,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,1.8,0.0,0.0,#DIV/0!,1.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.8,0.8,-3.8,-600.4%,1.0,1.0,0.0,-2.0,-300.0%,#DIV/0!,0.9,0.9,0.0,-100.0%,1.0,1.0,0.0,0.0,-100.0%,#DIV/0!
일렉트로마트STF안성,대형마트담당 이마트 상위리그,혼매경기팀,이마트,대형마트,1.6,1.7,-3.8,-325.1%,2.0,2.0,0.0,-2.0,-200.0%,#DIV/0!,3.9,0.0,2.2,#DIV/0!,2.0,0.0,0.0,1.0,#DIV/0!,#DIV/0!,1.5,0.0,0.0,#DIV/0!,1.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!
신 홈플러스 오산점,대형마트담당 홈플러스,혼매경기팀,홈플러스,대형마트,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,4.1,8.3,1.9,-77.2%,2.0,1.0,0.0,1.0,0.0%,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,1.0,0.0,0.9,#DIV/0!,1.0,0.0,0.0,1.0,#DIV/0!,#DIV/0!
(신)이마트 E/T수원점,대형마트담당 이마트 상위리그,혼매경기팀,이마트,대형마트,0.8,0.0,0.0,#DIV/0!,1.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,1.8,0.0,1.9,#DIV/0!,1.0,0.0,0.0,1.0,#DIV/0!,#DIV/0!,1.6,1.6,6.2,292.5%,1.0,1.0,0.0,4.0,300.0%,#DIV/0!,0.0,0.0,0.9,#DIV/0!,0.0,0.0,0.0,1.0,#DIV/0!,#DIV/0!
(신)이마트 수원점,대형마트담당 이마트 상위리그,혼매경기팀,이마트,대형마트,2.1,1.5,0.0,-100.0%,3.0,2.0,0.0,0.0,-100.0%,#DIV/0!,1.8,1.8,0.0,-100.0%,1.0,1.0,0.0,0.0,-100.0%,#DIV/0!,1.6,1.6,0.0,-100.0%,1.0,1.0,0.0,0.0,-100.0%,#DIV/0!,1.9,0.9,1.1,25.0%,2.0,1.0,0.0,2.0,100.0%,#DIV/0!
(신)이마트 흥덕점,대형마트담당 이마트 하위리그,혼매경기팀,이마트,대형마트,0.8,0.8,0.0,-100.0%,1.0,1.0,0.0,0.0,-100.0%,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!
E/T동탄점,대형마트담당 이마트 하위리그,혼매경기팀,이마트,대형마트,1.1,1.1,0.0,-100.0%,1.0,1.0,0.0,0.0,-100.0%,#DIV/0!,10.7,3.6,1.9,-47.8%,6.0,2.0,0.0,1.0,-50.0%,#DIV/0!,1.6,0.0,0.0,#DIV/0!,1.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,4.5,#DIV/0!,0.0,0.0,0.0,5.0,#DIV/0!,#DIV/0!
신 홈플러스 화성향남점,대형마트담당 홈플러스,혼매경기팀,홈플러스,대형마트,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,1.9,0.0,0.0,#DIV/0!,1.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,1.5,0.0,0.0,#DIV/0!,1.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!
(신)이마트 안성점,대형마트담당 이마트 하위리그,혼매경기팀,이마트,대형마트,3.1,2.3,0.0,-100.0%,4.0,3.0,0.0,0.0,-100.0%,#DIV/0!,1.3,1.3,0.0,-100.0%,1.0,1.0,0.0,0.0,-100.0%,#DIV/0!,1.5,1.5,0.0,-100.0%,1.0,1.0,0.0,0.0,-100.0%,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!
E/T스타필드안성점,대형마트담당 이마트 상위리그,혼매경기팀,이마트,대형마트,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,26.5,8.8,0.0,-100.0%,15.0,5.0,0.0,0.0,-100.0%,#DIV/0!,7.9,0.0,3.2,#DIV/0!,5.0,0.0,0.0,2.0,#DIV/0!,#DIV/0!,29.0,0.0,1.1,#DIV/0!,30.0,0.0,0.0,1.0,#DIV/0!,#DIV/0!
(신)홈플러스 평택안중점,대형마트담당 홈플러스,혼매경기팀,홈플러스,대형마트,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,5.5,#DIV/0!,0.0,0.0,0.0,3.0,#DIV/0!,#DIV/0!,2.9,2.9,1.6,-44.2%,2.0,2.0,0.0,1.0,-50.0%,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!
신 홈플러스 송탄점,대형마트담당 홈플러스,혼매경기팀,홈플러스,대형마트,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!
(신)이마트 E/T구성점,대형마트담당 이마트 상위리그,혼매경기팀,이마트,대형마트,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,1.8,1.8,1.1,-40.8%,1.0,1.0,0.0,1.0,0.0%,#DIV/0!,1.5,1.5,0.0,-100.0%,1.0,1.0,0.0,0.0,-100.0%,#DIV/0!,0.0,0.0,1.1,#DIV/0!,0.0,0.0,0.0,1.0,#DIV/0!,#DIV/0!
(신)이마트 수지점,대형마트담당 이마트 하위리그,혼매경기팀,이마트,대형마트,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,1.6,0.0,0.0,#DIV/0!,1.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!
(신)이마트 용인점,대형마트담당 이마트 하위리그,혼매경기팀,이마트,대형마트,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!
(신)이마트 죽전점,대형마트담당 이마트 상위리그,혼매경기팀,이마트,대형마트,0.8,0.8,1.7,105.6%,1.0,1.0,0.0,2.0,100.0%,#DIV/0!,3.7,7.2,0.9,-86.8%,2.0,4.0,0.0,0.0,-100.0%,#DIV/0!,6.2,3.0,7.9,161.6%,4.0,2.0,0.0,5.0,150.0%,#DIV/0!,3.8,2.8,2.1,-25.4%,4.0,3.0,0.0,2.0,-33.3%,#DIV/0!
(신)이마트 광교점,대형마트담당 이마트 하위리그,혼매경기팀,이마트,대형마트,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,1.4,0.0,1.4,-5548.8%,1.0,0.0,0.0,1.0,#DIV/0!,#DIV/0!,1.6,2.9,0.0,-100.0%,1.0,2.0,0.0,0.0,-100.0%,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!
(신)이마트 동백점,대형마트담당 이마트 하위리그,혼매경기팀,이마트,대형마트,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,1.6,1.6,0.0,-100.0%,1.0,1.0,0.0,0.0,-100.0%,#DIV/0!,-0.9,-0.9,0.0,-100.0%,-1.0,-1.0,0.0,0.0,-100.0%,#DIV/0!
(신)이마트 보라점,대형마트담당 이마트 하위리그,혼매경기팀,이마트,대형마트,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.9,0.9,0.0,-100.0%,1.0,1.0,0.0,0.0,-100.0%,#DIV/0!
(신)이마트 서수원점,대형마트담당 이마트 하위리그,혼매경기팀,이마트,대형마트,1.1,0.0,0.0,#DIV/0!,1.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,0.9,0.9,1.1,18.0%,1.0,1.0,0.0,1.0,0.0%,#DIV/0!
